timestamp,acc_x,acc_y,acc_z,rot_x,rot_y,rot_z,qfe,temp,Unnamed: 10
6358749,-0.03,-0.08,1.01,2.75,-0.43,-1.1,940.4,20.92,
6358787,-0.03,-0.07,1.01,2.62,-1.34,-0.92,940.4,20.93,
6358826,-0.05,-0.08,1.01,3.05,-2.14,-0.85,940.42,20.93,
6358876,-0.03,-0.07,1.01,2.93,-2.38,-0.98,940.38,20.91,
6358914,-0.03,-0.07,1.03,2.87,-2.62,-0.85,940.41,20.93,
6358952,-0.04,-0.08,1.03,2.87,-3.42,-0.73,940.4,20.92,
6358990,-0.04,-0.09,1.06,2.69,-3.05,-0.79,940.35,20.93,
6359029,-0.06,-0.08,1.13,2.5,-3.17,-0.92,940.39,20.93,
6359067,-0.05,-0.08,1.07,2.08,-1.59,-0.85,940.4,20.93,
6359105,-0.05,-0.06,1.11,2.08,-1.46,-0.92,940.42,20.92,
6359144,-0.06,-0.08,1.06,2.14,0.55,-0.61,940.44,20.92,
6359182,-0.06,-0.08,1.04,2.14,1.34,-0.73,940.45,20.92,
6359232,-0.05,-0.08,1.08,2.38,3.36,-0.55,940.38,20.9,
6359270,-0.06,-0.07,1.06,2.62,3.3,-0.43,940.41,20.92,
6359308,-0.06,-0.07,1.05,2.56,4.7,-0.18,940.52,20.93,
6359347,-0.03,-0.09,1.06,2.69,5.13,-0.12,940.46,20.92,
6359385,-0.04,-0.09,0.99,2.5,5.62,0.0,940.49,20.93,
6359423,-0.04,-0.08,0.95,2.38,4.7,0.06,940.52,20.92,
6359462,-0.02,-0.07,0.92,2.14,4.58,0.06,940.45,20.93,
6359500,-0.03,-0.09,0.89,1.89,4.33,0.06,940.5,20.93,
6359538,-0.04,-0.09,0.9,1.95,4.03,0.37,940.49,20.92,
6359576,-0.05,-0.09,0.89,1.4,4.15,0.24,940.51,20.93,
6359627,-0.04,-0.08,0.93,1.46,3.97,0.31,940.47,20.92,
6359665,-0.03,-0.09,0.91,1.04,3.54,0.31,940.54,20.93,
6359703,-0.04,-0.09,0.95,1.46,3.23,0.37,940.48,20.92,
6359741,-0.03,-0.1,0.88,0.73,4.21,0.43,940.5,20.93,
6359780,-0.02,-0.07,0.94,0.92,1.89,0.43,940.48,20.92,
6359818,-0.06,-0.08,0.95,0.85,2.5,0.55,940.51,20.93,
6359856,-0.03,-0.09,0.96,0.49,2.62,0.49,940.48,20.93,
6359895,-0.03,-0.09,1.0,0.43,2.75,0.61,940.51,20.92,
6359933,-0.05,-0.09,0.99,0.0,2.99,0.73,940.52,20.93,
6359971,-0.03,-0.07,1.03,0.06,2.08,0.61,940.5,20.92,
6360047,-0.04,-0.08,1.05,-0.06,2.87,0.85,940.51,20.9,
6360085,-0.04,-0.09,1.16,-0.18,3.17,0.79,940.49,20.92,
6360124,-0.05,-0.09,1.12,-0.49,4.03,0.79,940.58,20.91,
6360214,-0.05,-0.07,1.24,-0.55,5.31,0.98,940.57,20.89,
6360252,-0.07,-0.08,1.23,0.0,4.94,1.28,940.55,20.9,
6360290,-0.03,-0.07,1.18,0.12,5.49,1.04,940.63,20.9,
6360329,-0.04,-0.07,1.13,0.49,5.68,1.22,940.61,20.9,
6360367,-0.04,-0.08,1.01,0.43,5.49,1.59,940.61,20.91,
6360405,-0.03,-0.06,0.95,1.59,4.09,1.59,940.64,20.91,
6360455,-0.05,-0.08,0.85,2.38,1.89,1.89,940.66,20.9,
6360494,-0.01,-0.07,0.92,3.23,0.37,1.77,940.62,20.92,
6360532,-0.01,-0.08,0.9,2.69,-0.24,1.89,940.6,20.92,
6360570,-0.02,-0.09,0.98,3.23,-2.69,1.95,940.58,20.91,
