timestamp,acc_x,acc_y,acc_z,rot_x,rot_y,rot_z,qfe,temp,Unnamed: 10
4903528,-0.03,-0.07,0.89,3.05,0.49,1.77,911.78,21.91,
4903567,-0.02,-0.07,0.89,2.93,0.61,1.77,911.75,21.92,
4903605,-0.02,-0.07,0.91,3.11,1.04,1.77,911.79,21.9,
4903643,-0.01,-0.07,0.89,2.99,1.04,1.65,911.83,21.93,
4903682,-0.02,-0.07,0.89,3.05,0.92,1.77,911.81,21.9,
4903732,-0.03,-0.07,0.87,2.99,1.28,1.71,911.76,21.9,
4903770,-0.02,-0.07,0.88,2.87,1.53,1.77,911.75,21.91,
4903808,-0.02,-0.07,0.88,2.56,1.46,1.71,911.71,21.9,
4903847,-0.03,-0.07,0.89,2.69,1.4,1.59,911.75,21.9,
4903885,-0.03,-0.07,0.9,2.08,1.59,1.77,911.74,21.91,
4903923,-0.02,-0.06,0.93,2.14,1.4,1.65,911.74,21.91,
4903962,-0.02,-0.06,0.93,2.01,1.77,1.77,911.69,21.91,
4904000,-0.02,-0.06,0.93,2.01,1.95,1.53,911.73,21.91,
4904038,-0.02,-0.06,0.96,1.77,2.44,1.71,911.78,21.91,
4904076,-0.02,-0.06,0.95,1.83,2.44,1.59,911.8,21.91,
4904153,-0.03,-0.06,0.97,2.32,2.69,1.59,911.79,21.89,
4904191,-0.02,-0.06,0.95,2.75,2.93,1.59,911.74,21.9,
4904229,-0.02,-0.06,0.96,2.99,3.17,1.65,911.75,21.91,
4904319,-0.02,-0.06,0.92,3.54,3.42,1.77,911.74,21.86,
4904358,-0.03,-0.06,0.92,3.85,3.36,1.89,911.75,21.88,
4904396,-0.02,-0.06,0.91,3.72,4.03,1.83,911.76,21.88,
4904434,-0.02,-0.06,0.88,3.6,3.6,2.01,911.75,21.91,
4904472,-0.02,-0.06,0.89,3.6,3.17,1.77,911.74,21.89,
4904511,-0.03,-0.06,0.86,3.54,3.48,2.01,911.78,21.9,
4904549,-0.02,-0.06,0.87,3.48,3.11,1.95,911.79,21.9,
4904599,-0.03,-0.07,0.87,3.17,3.42,1.83,911.75,21.89,
4904638,-0.02,-0.06,0.87,3.23,3.23,1.89,911.74,21.9,
4904676,-0.02,-0.06,0.85,3.05,3.48,1.95,911.71,21.89,
4904714,-0.02,-0.06,0.87,2.93,3.42,1.95,911.8,21.89,
4904752,-0.02,-0.06,0.88,3.05,3.66,2.01,911.78,21.9,
4904791,-0.02,-0.07,0.88,2.99,3.72,2.14,911.79,21.91,
4904829,-0.01,-0.07,0.89,3.17,3.91,1.95,911.72,21.9,
4904867,-0.02,-0.06,0.87,3.05,3.6,2.01,911.74,21.9,
4904906,-0.02,-0.07,0.85,2.87,3.66,1.95,911.77,21.91,
4904956,-0.01,-0.06,0.87,2.99,3.54,2.01,911.78,21.9,
4904994,-0.02,-0.07,0.82,2.81,4.03,1.89,911.83,21.92,
4905032,-0.01,-0.06,0.84,3.17,3.17,1.89,911.83,21.92,
4905071,-0.02,-0.06,0.81,3.05,3.6,1.95,911.75,21.91,
4905109,-0.01,-0.06,0.81,2.99,2.93,1.95,911.84,21.92,
4905147,-0.02,-0.07,0.82,2.93,2.93,1.83,911.81,21.92,
4905186,-0.02,-0.07,0.8,2.56,3.42,1.95,911.75,21.91,
4905224,-0.02,-0.06,0.84,2.75,2.81,1.83,911.8,21.93,
4905262,-0.02,-0.06,0.82,2.14,3.23,1.89,911.83,21.92,
4905301,-0.02,-0.06,0.84,2.2,2.5,1.83,911.81,21.92,
4905351,-0.02,-0.06,0.85,1.89,2.87,1.95,911.83,21.91,
4905389,-0.01,-0.06,0.87,1.89,2.62,1.71,911.79,21.91,
4905427,-0.02,-0.06,0.87,1.95,2.81,1.89,911.88,21.93,
4905466,-0.02,-0.06,0.87,1.89,2.62,1.83,911.86,21.91,
4905504,-0.02,-0.06,0.87,2.14,2.87,1.89,911.9,21.92,
4905542,-0.01,-0.06,0.87,2.26,2.93,1.89,911.89,21.91,
4905581,-0.02,-0.06,0.9,2.32,2.69,1.59,911.91,21.93,
4905619,-0.01,-0.06,0.89,2.44,3.11,1.71,911.91,21.92,
4905657,-0.01,-0.06,0.9,2.56,2.75,1.53,911.96,21.92,
4905707,-0.01,-0.06,0.93,2.69,2.75,1.77,911.94,21.92,
4905746,-0.01,-0.06,0.91,2.69,2.75,1.65,911.99,21.91,
4905784,-0.01,-0.06,0.92,2.75,2.56,1.4,911.99,21.92,
4905822,-0.02,-0.06,0.91,2.62,2.5,1.28,911.97,21.91,
4905860,-0.01,-0.06,0.91,2.5,2.32,1.34,911.97,21.9,
4905899,-0.01,-0.06,0.92,2.44,2.14,1.22,911.9,21.91,
4905937,-0.01,-0.06,0.92,2.5,2.26,1.4,911.91,21.91,
4905975,-0.01,-0.06,0.95,2.56,2.32,1.22,911.98,21.92,
4906014,-0.0,-0.06,0.96,2.5,2.38,1.4,911.92,21.9,
4906052,-0.01,-0.06,0.99,2.5,1.65,1.16,912.02,21.92,
4906102,-0.01,-0.06,1.01,2.44,1.83,1.04,912.02,21.9,
4906140,-0.0,-0.06,1.02,2.44,1.46,1.1,911.98,21.9,
4906179,-0.01,-0.05,1.03,2.5,1.4,0.79,912.02,21.9,
4906217,-0.02,-0.05,1.03,2.5,1.4,0.79,912.01,21.89,
4906255,-0.01,-0.05,1.04,2.32,1.53,0.92,912.06,21.9,
4906293,-0.01,-0.05,1.04,2.56,1.28,0.85,912.04,21.9,
4906332,-0.01,-0.06,1.05,2.56,1.59,0.61,912.07,21.9,
4906370,0.01,-0.05,1.07,2.81,1.59,0.55,912.06,21.89,
4906408,-0.0,-0.05,1.06,2.87,2.38,0.43,912.02,21.88,
4906447,-0.01,-0.05,1.07,3.05,2.5,0.49,912.05,21.89,
4906497,-0.01,-0.05,1.07,3.05,2.99,0.24,912.08,21.9,
4906535,-0.03,-0.05,1.09,3.17,2.93,0.37,912.11,21.9,
4906573,-0.0,-0.06,1.06,2.99,3.11,0.31,912.07,21.89,
4906612,-0.01,-0.05,1.07,3.17,2.38,0.24,912.12,21.9,
4906650,-0.01,-0.05,1.07,3.11,2.75,0.18,912.11,21.9,
4906688,-0.01,-0.05,1.02,2.81,2.69,0.18,912.11,21.9,
4906727,-0.02,-0.05,1.02,3.23,2.32,0.24,912.09,21.9,
4906765,-0.02,-0.07,1.0,3.17,2.5,0.12,912.13,21.89,
4906803,-0.02,-0.06,1.0,3.3,2.26,0.12,912.14,21.92,
4906853,-0.01,-0.06,1.0,2.93,3.17,0.12,912.04,21.89,
4906892,-0.03,-0.05,1.02,3.42,2.81,0.12,912.14,21.91,
4906930,-0.04,-0.06,0.98,2.99,3.54,0.24,912.17,21.91,
4906968,-0.02,-0.05,0.99,2.99,2.5,0.31,912.15,21.92,
4907007,-0.04,-0.06,0.99,3.23,2.75,0.31,912.12,21.93,
4907045,-0.05,-0.07,0.93,2.75,3.91,0.24,912.16,21.92,
4907083,-0.03,-0.06,0.96,3.11,4.09,0.24,912.17,21.91,
4907122,-0.02,-0.06,0.94,2.93,4.52,0.24,912.2,21.91,
4907160,-0.04,-0.06,0.91,2.69,4.58,0.24,912.16,21.92,
4907198,-0.04,-0.06,0.94,2.62,5.55,0.43,912.21,21.92,
4907276,-0.04,-0.06,0.96,2.5,5.74,0.49,912.24,21.88,
