timestamp,acc_x,acc_y,acc_z,rot_x,rot_y,rot_z,qfe,temp
4637518,-0.05,-0.04,1.42,-4.46,-1.89,8.36,866.39,32.2
4637556,-0.05,-0.07,1.29,-3.78,-1.22,8.36,866.43,32.22
4637594,-0.03,-0.07,1.24,-4.21,-1.59,8.36,866.46,32.22
4637632,-0.04,-0.06,1.23,-3.48,-0.98,8.3,866.45,32.21
4637670,0.0,-0.07,1.23,-2.87,-0.55,8.06,866.49,32.23
4637708,-0.01,-0.07,1.23,-2.32,-0.67,7.87,866.48,32.22
4637747,-0.03,-0.07,1.2,-1.83,-0.73,7.75,866.47,32.23
4637785,-0.02,-0.09,1.19,-1.4,0.85,7.69,866.43,32.23
4637823,-0.01,-0.08,1.13,-1.4,-0.18,7.26,866.38,32.23
4637861,-0.02,-0.06,1.18,-1.34,-0.85,7.26,866.39,32.23
4637911,-0.01,-0.08,1.06,-1.16,0.06,7.14,866.37,32.21
4637949,-0.02,-0.06,1.23,-1.1,-1.1,7.14,866.41,32.23
4637987,0.0,-0.08,1.18,-1.22,-0.61,7.02,866.37,32.23
4638025,-0.02,-0.05,1.33,-1.34,-3.05,6.77,866.36,32.21
4638063,-0.04,-0.08,1.29,-1.34,-0.98,6.71,866.42,32.23
4638102,0.0,-0.07,1.34,-1.59,-1.71,6.41,866.35,32.24
4638140,0.0,-0.06,1.38,-1.71,-1.83,6.29,866.42,32.24
4638178,-0.01,-0.06,1.35,-1.71,-2.14,6.23,866.39,32.25
4638216,-0.01,-0.05,1.42,-1.71,-1.34,6.1,866.33,32.22
4638266,-0.03,-0.07,1.37,-1.65,-1.65,5.98,866.34,32.21
4638304,-0.04,-0.06,1.39,-1.71,-2.81,5.98,866.31,32.22
4638342,-0.04,-0.06,1.27,-1.4,-2.01,5.8,866.38,32.22
4638380,0.0,-0.06,1.27,-1.46,-2.38,5.8,866.28,32.23
4638419,-0.03,-0.06,1.18,-1.22,-2.26,5.92,866.33,32.24
4638457,-0.06,-0.07,1.2,-1.04,-2.2,5.86,866.31,32.24
4638495,-0.03,-0.07,1.19,-1.1,-1.95,5.8,866.36,32.26
4638533,-0.04,-0.07,1.21,-1.04,-2.93,5.68,866.25,32.24
4638571,-0.03,-0.08,1.16,-1.16,-1.4,5.68,866.3,32.25
4638647,-0.01,-0.08,1.13,-0.92,0.43,5.55,866.27,32.22
4638685,-0.02,-0.07,1.13,-1.04,-0.92,5.92,866.27,32.22
4638723,-0.03,-0.07,1.15,-1.22,-0.06,5.8,866.3,32.24
4638813,-0.01,-0.09,1.12,-1.4,-0.24,5.55,866.25,32.21
4638851,-0.03,-0.09,1.07,-1.46,-0.06,5.55,866.23,32.22
4638889,-0.02,-0.09,1.05,-1.59,0.0,5.25,866.27,32.22
4638927,-0.03,-0.07,1.11,-1.34,0.24,5.55,866.31,32.24
4638965,-0.01,-0.09,1.09,-1.53,-0.37,5.37,866.23,32.25
4639003,-0.05,-0.09,1.05,-1.95,0.85,5.43,866.25,32.24
4639041,-0.03,-0.07,1.16,-1.95,0.31,5.55,866.19,32.23
4639091,-0.01,-0.07,1.14,-2.14,-0.67,5.8,866.18,32.23
4639129,-0.06,-0.07,1.21,-2.2,-1.04,6.16,866.19,32.25
4639168,-0.04,-0.07,1.19,-2.14,0.0,5.86,866.15,32.24
4639206,-0.04,-0.06,1.24,-2.01,-0.37,5.92,866.19,32.24
4639244,-0.05,-0.07,1.23,-1.59,-0.73,6.1,866.15,32.25
4639282,-0.05,-0.08,1.19,-1.71,-0.37,6.16,866.13,32.25
4639320,-0.05,-0.07,1.18,-1.89,0.79,5.98,866.14,32.25
4639358,-0.01,-0.07,1.17,-1.65,0.98,6.29,866.11,32.25
4639396,-0.02,-0.05,1.16,-1.77,0.06,6.23,866.11,32.25
4639446,-0.04,-0.06,1.13,-1.77,1.53,6.29,866.14,32.24
4639484,-0.03,-0.07,1.18,-1.59,1.71,6.16,866.11,32.24
4639523,-0.03,-0.08,1.18,-1.59,2.08,6.16,866.11,32.24
4639561,-0.05,-0.08,1.16,-1.59,1.1,6.29,866.07,32.23
4639599,-0.04,-0.06,1.2,-1.53,2.26,6.1,866.07,32.22
4639637,-0.01,-0.07,1.16,-1.71,1.53,6.29,866.11,32.24
4639675,-0.03,-0.05,1.19,-1.53,1.34,6.35,866.02,32.23
4639713,-0.05,-0.09,1.1,-1.59,1.89,6.23,866.08,32.24
4639751,-0.05,-0.07,1.17,-1.59,1.46,6.29,866.05,32.24
4639790,-0.03,-0.07,1.15,-1.53,2.38,6.47,866.09,32.24
4639839,-0.05,-0.06,1.18,-1.53,1.59,6.47,866.05,32.23
4639878,-0.05,-0.07,1.12,-1.46,3.11,6.53,866.07,32.23
4639916,-0.03,-0.07,1.14,-1.46,2.62,6.35,866.08,32.23
4639954,-0.02,-0.07,1.14,-1.53,2.62,6.59,866.02,32.23
4639992,-0.04,-0.06,1.12,-1.53,3.11,6.77,865.97,32.23
4640030,-0.03,-0.06,1.13,-1.59,3.6,6.59,866.05,32.23
4640068,-0.05,-0.06,1.14,-1.46,3.91,6.53,865.97,32.22
4640106,-0.05,-0.06,1.17,-1.59,4.21,6.59,865.94,32.22
4640145,-0.04,-0.07,1.11,-1.53,5.25,6.47,866.02,32.22
4640195,-0.03,-0.05,1.13,-1.4,5.74,6.29,865.95,32.22
4640233,-0.02,-0.06,1.11,-1.65,5.07,6.41,865.98,32.22
4640271,-0.04,-0.06,1.16,-1.46,4.94,6.35,865.99,32.21
4640309,-0.04,-0.06,1.16,-1.22,5.43,6.47,865.94,32.22
4640347,-0.04,-0.06,1.16,-1.22,4.88,6.47,865.94,32.21
4640385,-0.04,-0.06,1.19,-0.98,4.52,6.47,865.94,32.21
4640423,-0.04,-0.06,1.15,-0.92,4.33,6.47,865.91,32.22
4640462,-0.02,-0.05,1.17,-0.79,4.09,6.41,865.89,32.23
4640500,-0.03,-0.06,1.14,-0.55,4.82,6.59,865.89,32.23
4640538,-0.04,-0.06,1.12,-0.43,4.27,6.41,865.87,32.23
4640588,-0.05,-0.06,1.1,-0.18,4.52,6.65,865.87,32.21
4640626,-0.05,-0.06,1.1,-0.06,3.97,6.59,865.87,32.21
4640664,-0.03,-0.07,1.07,0.06,3.6,6.71,865.86,32.22
4640702,-0.03,-0.06,1.05,0.31,3.36,6.77,865.93,32.21
4640740,-0.03,-0.07,1.02,0.37,2.75,6.84,865.86,32.22
4640779,-0.03,-0.06,1.01,0.24,2.14,6.65,865.85,32.22
4640817,-0.05,-0.07,0.99,0.12,2.01,6.84,865.84,32.22
4640855,-0.04,-0.07,0.98,-0.12,1.53,6.77,865.79,32.22
4640893,-0.04,-0.07,1.02,-0.31,0.49,6.71,865.77,32.21
4640943,-0.03,-0.07,0.99,-0.37,0.49,6.96,865.75,32.21
4640981,-0.03,-0.07,0.99,-0.55,0.0,7.08,865.71,32.21
4641019,-0.03,-0.07,0.99,-0.49,0.37,6.9,865.74,32.22
4641057,-0.04,-0.07,0.96,-0.67,0.43,6.84,865.71,32.22
4641095,-0.04,-0.07,0.97,-0.79,-0.24,6.9,865.76,32.21
4641134,-0.04,-0.08,0.97,-0.98,0.31,6.71,865.73,32.2
4641172,-0.04,-0.07,0.97,-1.22,0.55,6.65,865.65,32.2
4641210,-0.05,-0.07,1.01,-1.4,0.92,6.65,865.7,32.21
4641248,-0.04,-0.07,1.01,-1.34,1.28,6.59,865.75,32.21
4641286,-0.04,-0.06,1.04,-1.4,2.32,6.35,865.69,32.21
4641336,-0.03,-0.07,1.03,-1.53,2.56,6.41,865.68,32.2
4641374,-0.02,-0.06,1.07,-1.59,2.5,6.23,865.68,32.2
4641412,-0.03,-0.06,1.07,-1.46,2.81,6.16,865.64,32.2
4641451,-0.02,-0.06,1.09,-1.34,2.56,6.29,865.64,32.19
4641489,-0.03,-0.06,1.07,-1.28,2.69,6.29,865.63,32.21
4641527,-0.03,-0.06,1.07,-1.34,2.56,6.04,865.66,32.2
4641565,-0.03,-0.06,1.08,-0.98,2.81,5.98,865.66,32.21
4641604,-0.02,-0.07,1.07,-1.1,2.69,5.92,865.65,32.21
4641642,-0.04,-0.06,1.08,-0.98,2.69,5.8,865.62,32.21
4641718,-0.04,-0.06,1.09,-0.92,2.99,5.92,865.57,32.18
4641756,-0.03,-0.06,1.09,-1.04,2.75,5.74,865.56,32.2
4641794,-0.04,-0.05,1.11,-0.92,2.81,5.8,865.58,32.21
4641883,-0.04,-0.06,1.11,-0.79,3.36,5.68,865.52,32.17
4641922,-0.04,-0.06,1.07,-0.67,3.36,5.74,865.61,32.18
4641960,-0.05,-0.06,1.09,-0.67,3.3,5.8,865.51,32.19
4641998,-0.04,-0.07,1.05,-0.49,3.97,5.74,865.54,32.18
4642036,-0.04,-0.06,1.07,-0.37,3.85,5.74,865.52,32.19
4642074,-0.04,-0.06,1.05,-0.43,3.85,5.8,865.51,32.2
4642112,-0.04,-0.06,1.03,-0.49,4.09,5.8,865.5,32.2
4642162,-0.05,-0.06,1.06,-0.37,4.15,5.8,865.49,32.18
4642200,-0.05,-0.06,1.04,-0.37,3.91,5.98,865.49,32.2
4642238,-0.05,-0.06,1.06,-0.37,3.54,6.04,865.49,32.22
4642277,-0.05,-0.06,1.05,-0.49,3.97,5.86,865.45,32.22
4642315,-0.04,-0.06,1.05,-0.43,3.72,5.86,865.48,32.2
4642353,-0.05,-0.07,1.05,-0.06,4.09,5.98,865.43,32.22
4642391,-0.06,-0.06,1.04,-0.31,4.15,6.04,865.45,32.21
4642429,-0.06,-0.06,1.04,-0.18,4.09,6.1,865.46,32.22
4642467,-0.06,-0.06,1.02,-0.24,4.09,6.1,865.42,32.2
4642517,-0.05,-0.05,1.03,0.12,4.21,6.35,865.42,32.2
4642555,-0.05,-0.06,1.01,0.06,4.21,6.35,865.41,32.2
4642593,-0.05,-0.06,1.02,0.18,4.33,6.53,865.43,32.2
4642632,-0.06,-0.06,1.0,0.31,4.64,6.53,865.38,32.2
4642670,-0.07,-0.07,0.98,0.55,5.0,6.59,865.42,32.19
4642708,-0.05,-0.06,0.97,0.49,4.88,6.59,865.38,32.18
