timestamp,acc_x,acc_y,acc_z,rot_x,rot_y,rot_z,qfe,temp,Unnamed: 10
4283527,-0.03,-0.01,0.89,4.52,3.05,1.16,895.0,23.05,
4283565,-0.02,-0.02,0.88,4.94,3.05,1.1,894.98,23.05,
4283604,-0.03,-0.02,0.86,4.82,3.17,1.04,895.0,23.04,
4283642,-0.03,-0.02,0.85,5.55,3.05,1.1,894.98,23.05,
4283718,-0.03,-0.02,0.84,5.68,3.05,1.16,894.98,23.03,
4283756,-0.03,-0.03,0.81,5.37,3.3,1.16,894.97,23.05,
4283794,-0.03,-0.02,0.82,5.55,2.87,0.92,894.99,23.05,
4283884,-0.02,-0.02,0.8,4.88,3.36,1.1,894.89,23.0,
4283922,-0.03,-0.03,0.79,4.76,3.6,1.1,894.9,23.02,
4283960,-0.03,-0.02,0.79,4.15,3.91,0.92,894.87,23.02,
4283999,-0.02,-0.03,0.78,3.85,3.85,1.04,894.92,23.02,
4284037,-0.02,-0.02,0.79,3.6,3.78,0.92,894.84,23.03,
4284075,-0.03,-0.02,0.79,3.48,3.91,0.98,894.88,23.02,
4284113,-0.03,-0.02,0.79,3.17,3.72,1.04,894.87,23.03,
4284163,-0.02,-0.02,0.82,2.75,3.23,1.04,894.9,23.01,
4284201,-0.02,-0.02,0.83,2.81,3.36,1.16,894.9,23.03,
4284240,-0.03,-0.02,0.84,2.69,2.75,0.98,894.86,23.04,
4284278,-0.02,-0.01,0.87,2.87,2.69,1.22,894.89,23.03,
4284316,-0.02,-0.02,0.88,3.11,2.26,1.16,894.9,23.05,
4284354,-0.01,-0.01,0.87,3.42,2.5,1.04,894.9,23.04,
4284392,-0.02,-0.01,0.87,3.85,2.56,1.16,894.93,23.04,
4284431,-0.02,-0.02,0.85,4.46,2.87,1.1,894.95,23.05,
4284469,-0.02,-0.02,0.84,4.76,2.69,1.04,894.89,23.05,
4284507,-0.02,-0.01,0.84,5.13,2.93,0.92,894.93,23.05,
4284557,-0.01,-0.01,0.83,5.49,2.56,0.98,894.92,23.05,
4284595,-0.02,-0.02,0.81,5.62,2.62,0.79,894.93,23.06,
4284634,-0.02,-0.02,0.8,5.74,2.75,0.92,894.9,23.03,
4284672,-0.02,-0.02,0.81,5.86,2.62,0.79,894.91,23.05,
4284710,-0.01,-0.02,0.79,5.8,2.32,0.73,894.96,23.06,
4284748,-0.01,-0.02,0.79,5.98,1.59,0.73,894.9,23.05,
4284787,-0.01,-0.02,0.78,5.8,1.59,0.67,894.89,23.03,
4284825,-0.01,-0.02,0.8,6.1,1.1,0.67,894.94,23.05,
4284863,-0.02,-0.02,0.8,6.1,1.28,0.55,894.98,23.04,
4284913,-0.02,-0.01,0.82,6.16,1.16,0.49,894.93,23.03,
4284951,-0.01,-0.02,0.82,6.1,1.4,0.49,894.92,23.05,
4284989,-0.02,-0.02,0.81,6.04,1.16,0.43,894.93,23.04,
4285028,-0.02,-0.02,0.8,6.16,1.28,0.37,894.95,23.04,
4285066,-0.01,-0.02,0.77,5.86,1.4,0.43,894.93,23.05,
4285104,-0.01,-0.02,0.77,5.62,1.22,0.24,894.9,23.05,
4285142,-0.01,-0.03,0.75,5.31,1.1,0.31,894.93,23.05,
4285180,-0.02,-0.03,0.76,5.25,1.04,0.24,894.94,23.05,
4285219,-0.01,-0.02,0.77,4.82,1.16,0.12,894.93,23.05,
4285257,-0.01,-0.02,0.79,4.7,0.73,0.24,894.93,23.05,
4285307,-0.02,-0.02,0.78,4.58,0.85,0.12,894.96,23.03,
4285345,-0.01,-0.02,0.81,4.39,0.67,0.0,894.95,23.05,
4285383,-0.02,-0.02,0.82,4.09,0.67,0.06,894.97,23.05,
4285421,-0.01,-0.02,0.85,4.03,0.61,-0.06,894.98,23.05,
4285460,-0.02,-0.02,0.86,4.03,0.79,-0.12,894.94,23.04,
4285498,-0.02,-0.02,0.88,4.15,0.85,-0.18,895.0,23.05,
4285536,-0.01,-0.02,0.88,4.27,0.92,-0.31,895.01,23.06,
4285574,-0.02,-0.01,0.89,4.39,1.04,-0.31,894.98,23.06,
4285613,-0.02,-0.02,0.89,4.58,1.28,-0.37,895.0,23.05,
4285651,-0.02,-0.01,0.9,4.64,0.92,-0.37,894.97,23.06,
4285701,-0.04,-0.02,0.88,4.76,1.22,-0.31,894.98,23.05,
4285739,-0.03,-0.02,0.88,4.88,1.1,-0.31,894.98,23.05,
4285777,-0.02,-0.03,0.88,4.82,1.04,-0.24,895.0,23.06,
4285815,-0.02,-0.02,0.89,4.88,0.49,-0.12,895.01,23.05,
4285854,-0.04,-0.03,0.87,4.82,0.85,-0.18,894.98,23.05,
4285892,-0.03,-0.03,0.9,4.64,0.49,-0.12,895.07,23.06,
4285930,-0.02,-0.03,0.9,4.64,0.67,-0.06,895.03,23.04,
4285968,-0.04,-0.03,0.88,4.7,0.49,0.0,895.04,23.06,
4286007,-0.03,-0.02,0.87,4.7,0.67,0.0,895.09,23.06,
4286056,-0.04,-0.03,0.86,4.39,1.04,0.12,895.01,23.04,
4286095,-0.03,-0.03,0.84,4.46,0.98,0.12,895.09,23.05,
4286133,-0.03,-0.03,0.84,4.21,1.46,0.0,895.04,23.05,
4286171,-0.05,-0.03,0.86,4.27,1.89,0.24,895.13,23.06,
4286209,-0.03,-0.03,0.89,3.97,1.77,0.24,895.05,23.05,
4286247,-0.04,-0.03,0.92,4.03,1.77,0.18,895.02,23.04,
4286286,-0.04,-0.03,0.9,3.85,2.44,0.31,895.07,23.05,
4286324,-0.04,-0.02,0.9,3.91,2.69,0.24,895.1,23.05,
4286362,-0.04,-0.02,0.9,4.03,3.11,0.24,895.1,23.05,
4286400,-0.05,-0.03,0.92,3.97,2.87,0.43,895.1,23.05,
4286450,-0.05,-0.03,0.89,4.15,3.6,0.43,895.13,23.04,
4286489,-0.03,-0.02,0.92,4.39,3.05,0.55,895.17,23.05,
4286527,-0.04,-0.03,0.87,4.15,3.36,0.73,895.17,23.06,
4286565,-0.05,-0.03,0.85,4.27,2.81,0.92,895.15,23.05,
4286603,-0.04,-0.05,0.81,3.97,3.91,0.92,895.16,23.06,
4286642,-0.04,-0.04,0.76,3.54,3.78,1.1,895.21,23.05,
4286680,-0.05,-0.03,0.78,3.42,3.66,1.28,895.26,23.06,
4286718,-0.04,-0.04,0.74,2.81,4.15,1.28,895.23,23.05,
4286756,-0.03,-0.04,0.78,2.38,3.36,1.34,895.25,23.05,
4286832,-0.04,-0.04,0.8,1.22,3.85,1.59,895.25,23.02,
4286871,-0.03,-0.04,0.84,0.67,3.97,1.71,895.28,23.04,
4286909,-0.04,-0.04,0.86,-0.06,3.91,1.83,895.27,23.04,
4286999,-0.04,-0.03,0.92,-0.67,2.87,1.95,895.3,23.0,
4287037,-0.03,-0.03,0.93,-0.92,2.32,2.14,895.3,23.01,
4287075,-0.03,-0.02,0.97,-1.16,1.4,2.26,895.3,23.02,
4287113,-0.04,-0.03,0.96,-1.1,1.95,2.26,895.4,23.03,
4287152,-0.04,-0.03,0.97,-1.28,2.08,2.2,895.32,23.02,
4287190,-0.03,-0.02,1.0,-1.16,2.69,2.2,895.36,23.04,
4287228,-0.03,-0.02,1.01,-1.04,3.05,2.01,895.42,23.04,
4287278,-0.04,-0.02,1.04,-1.04,4.03,2.2,895.41,23.02,
4287316,-0.04,-0.02,1.07,-0.98,4.64,2.01,895.41,23.03,
4287355,-0.04,-0.0,1.11,-1.04,5.19,2.08,895.42,23.04,
4287393,-0.04,0.0,1.14,-0.98,5.25,2.14,895.44,23.04,
4287431,-0.03,-0.0,1.16,-0.92,5.8,2.14,895.43,23.04,
4287469,-0.03,0.0,1.2,-0.92,5.92,1.89,895.44,23.04,
4287507,-0.03,0.01,1.25,-0.79,6.04,1.95,895.47,23.05,
4287546,-0.03,0.02,1.25,-0.85,6.29,2.2,895.45,23.03,
