timestamp,acc_x,acc_y,acc_z,rot_x,rot_y,rot_z,qfe,temp,Unnamed: 10
3455525,-0.0,-0.09,1.27,1.71,1.4,0.98,912.95,24.86,
3455563,-0.01,-0.09,1.26,1.77,0.92,0.92,912.98,24.85,
3455602,-0.01,-0.08,1.24,2.01,0.43,0.79,912.93,24.85,
3455640,0.01,-0.1,1.17,1.95,1.28,0.67,912.97,24.87,
3455678,0.0,-0.09,1.13,2.2,0.06,0.61,912.92,24.86,
3455716,-0.01,-0.1,1.06,2.2,0.79,0.37,912.93,24.86,
3455754,0.0,-0.09,1.06,2.62,0.67,0.12,912.95,24.87,
3455793,-0.01,-0.09,1.0,2.26,1.59,0.12,912.88,24.87,
3455843,-0.01,-0.09,0.98,2.26,0.85,-0.06,912.89,24.85,
3455881,-0.01,-0.1,0.96,2.01,1.89,-0.24,912.87,24.85,
3455919,-0.01,-0.1,0.9,1.71,1.77,-0.18,912.91,24.86,
3455957,-0.04,-0.09,0.95,2.44,0.92,-0.43,912.79,24.85,
3455995,-0.03,-0.11,0.9,2.26,2.62,-0.37,912.81,24.87,
3456034,0.01,-0.1,0.94,2.2,1.22,-0.37,912.8,24.86,
3456072,-0.03,-0.1,0.87,1.53,0.61,-0.18,912.83,24.86,
3456110,-0.06,-0.09,0.88,1.59,0.24,-0.37,912.75,24.85,
3456148,-0.02,-0.09,0.85,0.79,0.31,-0.43,912.77,24.85,
3456186,-0.03,-0.09,0.91,0.92,-0.37,-0.37,912.79,24.87,
3456236,-0.04,-0.1,0.86,0.43,0.92,-0.31,912.76,24.85,
3456275,-0.04,-0.08,0.94,0.61,1.34,-0.24,912.75,24.86,
3456313,-0.05,-0.1,0.94,0.49,2.26,-0.24,912.75,24.85,
3456351,-0.05,-0.09,1.0,0.98,2.32,-0.24,912.74,24.87,
3456389,-0.05,-0.09,1.05,1.46,2.99,-0.18,912.72,24.86,
3456427,-0.05,-0.08,1.05,1.34,3.91,-0.18,912.74,24.86,
3456466,-0.04,-0.08,1.09,1.65,4.82,0.06,912.76,24.86,
3456504,-0.05,-0.09,1.06,1.59,5.92,0.06,912.68,24.86,
3456542,-0.06,-0.08,1.1,2.26,6.1,0.12,912.7,24.87,
3456592,-0.04,-0.09,1.04,2.44,6.77,0.18,912.71,24.86,
3456630,-0.05,-0.08,1.08,2.81,6.16,0.24,912.68,24.86,
3456668,-0.06,-0.09,1.03,2.5,7.02,0.55,912.66,24.86,
3456706,-0.06,-0.08,1.09,3.36,6.16,0.61,912.7,24.85,
3456745,-0.05,-0.1,1.06,3.3,7.26,0.73,912.65,24.85,
3456783,-0.05,-0.08,1.11,3.48,5.98,1.16,912.58,24.86,
3456821,-0.07,-0.09,1.08,3.54,7.26,1.22,912.63,24.86,
3456859,-0.06,-0.09,1.08,3.36,7.08,1.22,912.61,24.87,
3456897,-0.04,-0.08,1.13,3.42,6.47,1.28,912.55,24.86,
3456936,-0.06,-0.09,1.06,2.93,6.1,1.46,912.59,24.87,
3456986,-0.05,-0.09,1.1,3.11,5.31,1.65,912.51,24.85,
3457024,-0.05,-0.09,1.09,2.75,5.31,1.71,912.53,24.86,
3457062,-0.05,-0.08,1.14,3.11,4.21,2.01,912.55,24.87,
