timestamp,acc_x,acc_y,acc_z,rot_x,rot_y,rot_z,qfe,temp,Unnamed: 10
3251530,-0.02,-0.08,1.2,0.37,-0.61,3.11,914.85,25.35,
3251568,-0.03,-0.07,1.25,0.06,-1.04,3.17,914.81,25.35,
3251606,-0.03,-0.07,1.24,-0.37,-1.71,3.6,914.8,25.34,
3251645,-0.0,-0.06,1.32,-0.61,-1.95,3.36,914.84,25.35,
3251683,-0.03,-0.07,1.35,-0.73,-1.53,3.72,914.85,25.35,
3251733,-0.01,-0.07,1.39,-0.67,-1.34,3.72,914.81,25.34,
3251771,-0.02,-0.06,1.4,0.0,-1.34,3.66,914.79,25.34,
3251809,-0.0,-0.07,1.38,0.55,-0.85,3.42,914.81,25.34,
3251847,-0.01,-0.06,1.41,1.16,-0.61,3.6,914.82,25.36,
3251886,-0.0,-0.07,1.36,1.53,-0.12,3.42,914.81,25.36,
3251924,-0.02,-0.07,1.34,2.2,0.31,3.11,914.79,25.35,
3251962,-0.01,-0.08,1.31,2.69,1.65,3.23,914.8,25.35,
3252000,0.01,-0.07,1.2,2.2,1.4,2.75,914.75,25.35,
3252038,-0.02,-0.07,1.14,2.14,3.48,2.62,914.73,25.35,
3252088,0.01,-0.09,1.07,1.46,3.72,2.87,914.71,25.35,
3252126,-0.0,-0.08,1.06,1.16,3.78,2.62,914.64,25.35,
3252165,-0.02,-0.07,1.03,0.55,3.78,2.87,914.63,25.35,
3252203,-0.02,-0.08,1.04,0.43,4.09,2.56,914.65,25.35,
3252241,0.0,-0.09,1.03,-0.73,4.21,2.38,914.61,25.35,
3252279,-0.02,-0.07,1.08,-0.85,2.99,2.62,914.61,25.36,
3252318,-0.01,-0.09,1.05,-1.71,4.15,2.81,914.58,25.35,
3252356,-0.0,-0.06,1.1,-1.89,4.09,2.38,914.54,25.34,
3252394,-0.01,-0.07,1.1,-2.01,4.88,2.62,914.57,25.36,
3252432,-0.01,-0.1,1.11,-1.71,4.33,2.56,914.6,25.36,
3252482,-0.02,-0.07,1.17,-1.59,5.68,2.32,914.55,25.34,
3252520,0.01,-0.07,1.17,-1.16,5.31,2.69,914.57,25.36,
3252559,0.0,-0.07,1.19,-0.55,4.94,2.32,914.6,25.35,
3252597,-0.02,-0.07,1.2,-0.24,5.0,2.38,914.45,25.35,
3252635,-0.01,-0.09,1.19,-0.06,5.62,2.69,914.47,25.36,
3252673,0.0,-0.08,1.23,-0.06,4.82,2.32,914.41,25.35,
3252712,-0.03,-0.07,1.23,0.06,4.94,2.38,914.42,25.36,
3252750,-0.01,-0.07,1.25,0.18,5.8,2.62,914.46,25.35,
3252788,0.02,-0.07,1.22,0.18,5.68,2.38,914.51,25.36,
3252826,-0.01,-0.07,1.18,0.43,5.07,2.32,914.44,25.36,
3252876,-0.01,-0.07,1.16,1.04,5.0,2.56,914.45,25.35,
3252915,0.01,-0.07,1.11,1.34,5.49,2.2,914.41,25.35,
3252953,-0.0,-0.08,1.1,1.65,4.09,2.01,914.36,25.35,
3252991,-0.02,-0.08,1.1,1.89,3.54,2.2,914.33,25.35,
3253029,-0.0,-0.08,1.03,1.83,4.27,2.01,914.33,25.34,
3253068,0.01,-0.06,1.04,1.71,2.93,2.14,914.31,25.35,
