timestamp,acc_x,acc_y,acc_z,rot_x,rot_y,rot_z,qfe,temp,Unnamed: 10
6427543,-0.04,-0.07,0.97,0.92,1.04,1.71,942.65,20.99,
6427581,-0.04,-0.08,0.95,0.31,0.24,1.89,942.72,21.01,
6427619,-0.04,-0.07,1.03,0.73,-1.16,1.89,942.68,21.01,
6427658,-0.04,-0.08,1.04,0.31,-0.24,1.83,942.71,21.01,
6427696,-0.03,-0.07,1.1,0.67,-1.34,2.14,942.75,21.01,
6427734,-0.06,-0.07,1.11,0.73,-0.98,2.14,942.7,21.01,
6427773,-0.04,-0.08,1.1,0.92,-0.37,2.01,942.7,21.01,
6427811,-0.03,-0.07,1.16,1.16,-0.61,2.2,942.78,21.02,
6427849,-0.04,-0.07,1.1,0.98,-0.31,2.26,942.74,21.02,
6427887,-0.05,-0.06,1.1,1.16,-0.49,2.14,942.76,21.02,
6427963,-0.03,-0.07,1.06,1.04,0.55,2.08,942.75,21.0,
6428002,-0.02,-0.08,1.02,0.85,0.31,2.14,942.76,20.99,
6428040,-0.03,-0.08,0.97,0.79,0.37,2.14,942.73,21.01,
6428130,-0.03,-0.08,0.92,0.92,0.92,2.08,942.75,20.96,
6428168,-0.04,-0.08,0.93,0.92,0.43,2.14,942.79,20.98,
6428206,-0.03,-0.09,0.91,0.43,0.73,2.14,942.72,20.98,
6428245,-0.01,-0.07,0.96,0.79,1.16,2.08,942.74,20.99,
6428283,-0.03,-0.08,0.94,0.73,1.89,2.08,942.76,21.0,
6428321,-0.02,-0.08,0.93,1.16,1.16,2.2,942.75,20.99,
6428360,-0.03,-0.08,0.94,0.98,2.32,1.71,942.78,21.0,
6428410,-0.04,-0.09,0.93,1.16,3.05,2.01,942.75,20.99,
6428448,-0.01,-0.08,0.94,1.28,2.69,1.77,942.8,21.01,
6428486,-0.03,-0.08,0.93,1.65,3.66,1.77,942.82,21.01,
6428524,-0.03,-0.08,0.95,2.01,4.39,1.77,942.74,21.0,
6428563,-0.03,-0.08,0.98,2.14,4.46,1.77,942.71,20.99,
6428601,-0.03,-0.08,1.0,2.38,3.97,1.77,942.72,20.99,
6428639,-0.04,-0.09,0.98,2.32,4.7,1.77,942.79,21.01,
6428677,-0.03,-0.08,1.03,2.38,4.46,1.65,942.73,21.01,
6428716,-0.03,-0.07,1.01,2.5,4.33,1.95,942.78,20.99,
6428766,-0.04,-0.08,1.0,2.75,4.09,1.77,942.76,21.0,
6428804,-0.02,-0.08,0.97,2.56,4.82,1.59,942.79,21.01,
6428842,-0.02,-0.08,0.97,2.56,4.76,1.89,942.78,21.01,
6428881,-0.04,-0.08,0.92,2.56,5.13,1.89,942.75,21.01,
6428919,-0.03,-0.08,0.93,2.62,4.82,1.77,942.74,21.01,
6428957,-0.02,-0.08,0.95,2.93,4.64,1.77,942.77,21.0,
6428995,-0.02,-0.08,0.92,2.81,3.97,1.77,942.75,21.01,
6429034,-0.03,-0.08,0.94,2.62,3.05,1.95,942.75,21.01,
6429072,-0.01,-0.08,0.91,2.01,3.17,1.83,942.74,21.01,
6429110,-0.02,-0.08,0.93,1.89,2.32,2.01,942.75,21.01,
6429160,-0.02,-0.08,0.94,1.71,2.32,2.01,942.73,20.99,
6429199,-0.02,-0.08,0.95,1.53,1.16,1.89,942.77,21.01,
6429237,-0.02,-0.09,0.92,1.53,2.14,1.89,942.78,21.02,
6429275,-0.02,-0.08,0.91,1.46,1.77,1.89,942.75,21.0,
6429313,-0.02,-0.07,0.94,1.46,1.89,1.65,942.74,21.01,
6429352,-0.02,-0.08,0.91,1.22,2.75,1.59,942.74,21.01,
6429390,-0.02,-0.08,0.94,1.28,2.75,1.53,942.78,21.02,
6429428,-0.02,-0.08,0.94,0.85,2.93,1.65,942.74,21.0,
6429466,-0.02,-0.08,0.97,1.16,2.81,1.46,942.79,21.01,
6429505,-0.02,-0.08,0.94,0.92,3.3,1.34,942.79,21.01,
6429555,-0.02,-0.08,0.97,1.16,3.78,1.28,942.77,21.0,
6429593,-0.01,-0.08,0.97,1.1,4.27,0.98,942.79,21.0,
6429631,-0.02,-0.08,0.98,1.22,3.78,0.85,942.85,21.01,
6429669,-0.02,-0.08,0.98,1.1,4.33,0.98,942.79,21.0,
6429708,-0.01,-0.08,0.98,1.04,4.15,0.85,942.79,21.01,
6429746,-0.03,-0.07,0.99,1.16,3.42,0.85,942.81,21.01,
