timestamp,acc_x,acc_y,acc_z,rot_x,rot_y,rot_z,qfe,temp
4109520,-0.05,0.06,1.45,-3.36,2.44,-6.16,925.13,36.09
4109558,-0.1,0.07,1.36,-2.93,5.68,-5.98,925.1,36.09
4109608,-0.05,0.08,1.31,-3.11,8.91,-6.41,925.1,36.09
4109646,-0.06,0.13,1.44,-2.87,8.61,-5.68,925.05,36.1
4109684,-0.09,0.07,1.29,-2.81,8.61,-5.49,925.01,36.1
4109722,-0.05,0.13,1.39,-3.23,7.81,-5.55,924.98,36.11
4109760,-0.02,0.15,1.39,-3.54,10.31,-5.37,924.99,36.1
4109799,-0.04,0.16,1.39,-3.78,8.24,-5.0,924.94,36.09
4109837,-0.08,0.18,1.49,-4.09,8.97,-4.82,924.89,36.1
4109875,-0.07,0.17,1.48,-4.09,8.73,-4.58,924.84,36.1
4109913,-0.07,0.21,1.55,-4.15,8.48,-4.33,924.92,36.1
4109951,-0.05,0.22,1.46,-4.21,10.74,-4.46,924.77,36.11
4110001,-0.08,0.22,1.5,-3.72,9.7,-4.21,924.74,36.09
4110039,-0.03,0.22,1.38,-3.54,9.83,-3.91,924.76,36.09
4110077,-0.06,0.24,1.42,-3.17,9.28,-4.09,924.7,36.1
4110115,-0.07,0.22,1.31,-3.05,9.09,-4.03,924.7,36.1
4110153,-0.06,0.2,1.28,-2.87,9.28,-3.97,924.68,36.11
4110191,-0.06,0.2,1.32,-2.99,8.85,-4.27,924.64,36.12
4110229,-0.04,0.2,1.28,-3.17,8.18,-3.91,924.6,36.12
4110267,-0.06,0.22,1.24,-2.93,7.02,-3.97,924.61,36.11
4110305,-0.08,0.22,1.2,-2.38,7.63,-4.09,924.57,36.13
4110355,-0.05,0.19,1.23,-1.34,6.04,-4.21,924.45,36.09
4110393,-0.05,0.2,1.21,-0.98,6.16,-4.15,924.47,36.11
4110431,-0.06,0.21,1.24,-0.18,5.25,-4.39,924.43,36.1
4110469,-0.05,0.19,1.27,0.43,5.62,-4.33,924.32,36.09
4110507,-0.08,0.19,1.33,1.28,3.72,-4.46,924.38,36.11
4110546,-0.05,0.15,1.26,1.59,6.84,-4.82,924.32,36.11
4110584,-0.08,0.16,1.22,2.14,6.29,-4.88,924.31,36.1
4110622,-0.07,0.15,1.12,2.69,10.19,-5.19,924.21,36.09
4110660,-0.03,0.14,1.08,3.36,10.44,-5.43,924.2,36.09
4110698,-0.06,0.13,1.11,4.15,9.58,-5.62,924.1,36.1
4110748,-0.09,0.1,0.96,4.33,9.34,-5.49,924.06,36.09
4110786,-0.06,0.09,1.01,4.88,11.17,-5.92,923.95,36.09
4110824,-0.06,0.06,0.89,4.82,11.6,-5.98,923.96,36.09
4110862,-0.1,0.09,0.94,5.13,9.03,-5.92,923.93,36.11
4110900,-0.1,0.07,0.88,4.94,10.8,-5.86,923.77,36.1
4110938,-0.08,0.06,0.88,4.27,9.95,-5.74,923.71,36.1
4110976,-0.09,0.06,0.92,3.78,9.34,-5.62,923.61,36.1
4111014,-0.1,0.04,0.89,2.93,6.96,-5.74,923.62,36.1
4111052,-0.1,0.03,0.95,2.32,7.75,-5.37,923.52,36.1
4111102,-0.08,0.03,1.01,2.2,7.39,-5.31,923.52,36.08
4111140,-0.09,0.02,1.0,1.89,6.35,-5.07,923.43,36.08
4111178,-0.13,0.03,1.02,1.95,4.52,-4.64,923.35,36.08
4111216,-0.11,0.01,1.01,1.83,4.03,-4.33,923.27,36.08
4111254,-0.13,0.01,1.0,1.65,1.59,-4.27,923.25,36.08
4111292,-0.1,0.01,1.08,2.01,1.4,-3.91,923.22,36.07
4111330,-0.09,0.0,0.98,2.26,-0.67,-3.48,923.23,36.09
4111368,-0.12,0.01,0.99,2.26,-0.73,-3.3,923.16,36.09
4111406,-0.13,-0.0,0.98,2.44,-0.18,-2.99,923.08,36.1
4111444,-0.13,0.0,1.04,2.69,-1.34,-2.75,923.03,36.1
4111520,-0.13,0.0,0.95,2.99,-0.31,-2.2,923.02,36.06
4111558,-0.17,0.01,0.87,3.05,1.1,-1.65,922.96,36.07
4111596,-0.12,0.01,0.84,3.72,1.16,-1.34,922.96,36.07
4111686,-0.1,0.0,0.7,3.97,2.5,-0.43,923.08,36.05
4111724,-0.07,0.02,0.72,4.52,0.73,-0.49,923.04,36.06
4111762,-0.11,0.01,0.64,4.52,1.95,-0.43,923.07,36.07
4111800,-0.06,0.01,0.65,4.39,1.34,-0.18,923.04,36.06
4111838,-0.06,0.01,0.65,4.46,1.95,-0.43,923.02,36.08
4111876,-0.07,0.02,0.6,4.39,1.53,-0.37,923.02,36.08
4111926,-0.06,0.04,0.59,4.46,1.71,-0.37,922.96,36.08
4111964,-0.04,0.02,0.57,4.39,1.46,-0.61,922.93,36.07
4112002,-0.04,0.02,0.53,4.21,1.4,-0.67,922.94,36.08
4112040,-0.05,0.04,0.55,4.21,1.28,-0.79,922.83,36.07
4112078,-0.03,0.04,0.53,3.91,1.28,-0.85,922.86,36.07
4112116,-0.04,0.03,0.53,3.6,0.98,-0.92,922.84,36.09
4112154,-0.06,0.03,0.54,3.85,1.95,-1.22,922.85,36.06
4112192,-0.03,0.02,0.49,3.48,3.05,-1.4,922.75,36.06
4112230,-0.02,0.04,0.5,2.99,2.26,-1.89,922.81,36.07
4112268,-0.03,0.03,0.49,2.87,3.36,-1.77,922.79,36.08
4112318,-0.0,0.02,0.53,2.38,2.81,-2.2,922.71,36.05
4112356,-0.01,0.01,0.52,2.2,3.11,-2.5,922.69,36.05
4112394,-0.02,0.02,0.54,1.89,2.01,-2.81,922.69,36.07
4112432,-0.02,0.02,0.6,1.65,2.69,-3.05,922.64,36.07
4112470,-0.0,-0.0,0.61,1.83,2.32,-3.3,922.61,36.05
4112508,-0.01,0.01,0.65,1.53,1.04,-3.48,922.64,36.07
4112546,-0.02,0.0,0.65,1.46,0.79,-3.72,922.62,36.06
4112584,-0.02,0.01,0.63,1.4,1.16,-3.85,922.62,36.07
4112622,-0.0,0.0,0.67,1.28,1.16,-4.15,922.6,36.08
4112660,-0.02,-0.01,0.65,1.22,0.49,-4.27,922.57,36.08
4112710,-0.04,-0.01,0.68,1.04,0.73,-4.52,922.58,36.07
4112748,-0.04,-0.0,0.66,0.98,1.53,-4.58,922.51,36.07
4112786,-0.02,-0.0,0.68,1.04,1.04,-4.88,922.51,36.07
4112824,-0.03,-0.01,0.71,1.28,0.43,-4.94,922.5,36.08
4112862,-0.03,-0.01,0.69,1.34,1.46,-4.88,922.51,36.08
4112900,-0.03,-0.01,0.71,1.16,1.59,-5.25,922.49,36.07
4112938,-0.04,-0.01,0.72,1.04,1.89,-5.19,922.46,36.07
4112976,-0.06,-0.01,0.73,0.79,1.83,-5.0,922.46,36.08
4113014,-0.05,-0.01,0.77,0.73,2.38,-5.07,922.39,36.07
4113064,-0.03,0.0,0.83,0.61,1.71,-5.19,922.45,36.05
4113102,-0.03,-0.0,0.86,0.79,1.04,-5.13,922.41,36.07
4113140,-0.06,-0.01,0.85,0.79,0.06,-5.0,922.33,36.06
4113178,-0.03,-0.01,0.86,0.98,-0.24,-5.25,922.39,36.06
4113216,-0.06,-0.0,0.84,1.1,-0.31,-5.07,922.4,36.06
4113254,-0.06,-0.01,0.78,1.16,0.0,-5.0,922.29,36.05
4113292,-0.06,-0.0,0.75,1.28,0.0,-5.13,922.25,36.07
4113330,-0.08,-0.01,0.73,1.34,0.37,-5.07,922.3,36.07
4113368,-0.1,-0.01,0.71,1.04,1.65,-4.94,922.28,36.06
4113406,-0.07,-0.01,0.75,0.67,2.01,-4.76,922.2,36.06
4113456,-0.08,-0.01,0.85,0.67,1.77,-4.64,922.21,36.05
4113494,-0.09,-0.02,0.81,0.18,3.05,-4.39,922.27,36.06
4113532,-0.07,0.0,0.92,0.37,1.95,-4.15,922.3,36.07
4113570,-0.07,-0.01,0.89,0.37,2.5,-4.09,922.3,36.07
4113608,-0.09,0.01,0.92,0.18,2.75,-3.85,922.33,36.05
4113646,-0.08,0.0,0.98,1.1,4.03,-3.78,922.34,36.07
4113684,-0.07,-0.01,0.93,0.79,6.77,-3.6,922.35,36.06
4113722,-0.07,0.01,1.0,1.1,6.1,-3.6,922.36,36.05
4113760,-0.07,0.0,1.0,1.53,8.42,-3.36,922.35,36.06
4113810,-0.05,0.0,1.03,1.4,9.16,-3.42,922.36,36.06
4113848,-0.04,0.01,1.03,1.53,10.8,-3.48,922.36,36.06
4113886,-0.07,0.01,1.02,1.83,10.01,-3.42,922.41,36.06
4113924,-0.07,0.01,1.04,1.95,11.9,-3.3,922.35,36.06
4113962,-0.04,0.0,1.04,1.83,14.04,-3.36,922.33,36.06
4114000,-0.04,0.02,1.16,1.77,14.59,-3.36,922.33,36.06
4114038,-0.05,0.01,1.02,1.28,17.03,-3.17,922.35,36.07
4114076,-0.07,0.03,1.16,0.98,15.01,-3.23,922.34,36.07
4114115,-0.06,0.0,1.19,0.55,17.33,-2.99,922.33,36.06
4114153,-0.03,0.01,1.15,-0.12,15.26,-2.75,922.35,36.07
4114202,-0.06,0.03,1.21,0.49,15.75,-2.75,922.37,36.06
4114240,-0.03,0.0,1.13,0.49,14.22,-2.75,922.32,36.06
4114278,-0.03,0.02,1.18,0.55,14.16,-2.62,922.41,36.07
4114316,-0.01,0.02,1.14,0.55,14.77,-2.44,922.32,36.06
4114354,-0.04,0.02,1.2,0.85,14.1,-2.5,922.41,36.08
4114393,-0.04,0.02,1.15,1.16,15.32,-2.56,922.34,36.06
4114431,-0.05,0.02,1.19,1.89,13.43,-2.69,922.32,36.07
4114469,-0.03,0.0,1.17,1.65,13.61,-2.5,922.28,36.05
4114507,-0.01,0.02,1.11,1.22,12.88,-3.05,922.35,36.06
4114584,-0.01,0.0,1.09,1.04,11.9,-3.05,922.3,36.04
4114622,-0.02,0.0,1.05,0.37,12.27,-3.3,922.32,36.04
4114660,-0.05,0.02,1.04,-0.18,10.62,-3.3,922.37,36.04
4114749,-0.0,-0.01,0.85,-0.92,12.27,-3.72,922.35,36.01
4114788,0.02,0.01,0.88,-1.46,10.56,-3.91,922.26,36.02
4114826,-0.05,0.01,0.81,-1.59,10.99,-3.85,922.31,36.02
