timestamp,acc_x,acc_y,acc_z,rot_x,rot_y,rot_z,qfe,temp
5045525,-0.04,-0.08,1.06,1.28,3.11,2.56,873.09,31.16
5045563,-0.02,-0.08,1.06,1.34,3.23,2.44,873.16,31.17
5045601,-0.03,-0.09,1.08,1.28,3.23,2.44,873.16,31.15
5045639,-0.03,-0.08,1.07,1.34,2.75,2.44,873.16,31.17
5045678,-0.02,-0.09,1.07,1.4,3.05,2.5,873.13,31.16
5045716,-0.03,-0.08,1.06,1.28,3.17,2.32,873.16,31.17
5045754,-0.04,-0.08,1.06,1.46,3.11,2.14,873.17,31.18
5045792,-0.03,-0.09,1.03,1.28,2.87,2.38,873.19,31.17
5045830,-0.03,-0.08,1.05,1.4,2.87,2.2,873.16,31.17
5045880,-0.04,-0.09,1.03,1.53,3.36,2.14,873.26,31.16
5045918,-0.03,-0.08,1.05,1.28,3.11,1.95,873.21,31.16
5045956,-0.02,-0.09,1.05,1.53,3.17,2.08,873.22,31.16
5045995,-0.02,-0.09,1.06,1.4,3.23,1.95,873.18,31.18
5046033,-0.04,-0.08,1.08,1.46,3.23,1.89,873.25,31.17
5046071,-0.03,-0.09,1.06,1.89,3.42,1.89,873.26,31.17
5046109,-0.01,-0.08,1.06,1.89,3.23,1.59,873.21,31.16
5046147,-0.03,-0.08,1.06,1.95,3.23,1.83,873.3,31.17
5046185,-0.03,-0.09,1.05,2.08,3.78,1.71,873.31,31.16
5046223,-0.02,-0.08,1.02,2.32,3.48,1.59,873.29,31.18
5046273,-0.03,-0.09,1.01,2.75,3.42,1.89,873.27,31.15
5046311,-0.02,-0.09,0.92,2.75,2.56,1.65,873.32,31.17
5046349,-0.02,-0.07,0.95,2.75,2.14,1.71,873.25,31.16
5046388,-0.02,-0.09,0.88,2.62,2.38,1.77,873.34,31.16
5046426,-0.02,-0.08,0.92,2.5,1.77,1.71,873.31,31.17
5046464,-0.03,-0.09,0.91,2.62,2.44,1.71,873.43,31.17
5046502,-0.02,-0.09,0.91,2.62,1.77,1.53,873.35,31.18
5046540,-0.03,-0.08,0.92,2.5,2.32,1.46,873.32,31.18
5046578,-0.02,-0.1,0.88,2.44,2.26,1.71,873.37,31.16
5046628,-0.02,-0.09,0.93,2.38,2.81,1.59,873.38,31.16
5046666,-0.03,-0.1,0.87,2.62,2.2,1.4,873.37,31.17
5046704,-0.03,-0.08,0.92,2.38,2.38,1.46,873.41,31.17
5046742,-0.03,-0.1,0.88,2.44,2.87,1.28,873.37,31.17
5046781,-0.03,-0.08,0.93,2.32,2.26,1.28,873.38,31.18
5046819,-0.02,-0.09,0.92,2.38,3.42,1.53,873.4,31.18
5046857,-0.03,-0.09,0.92,2.32,2.81,1.34,873.41,31.16
5046895,-0.04,-0.08,0.93,2.01,2.81,1.34,873.45,31.18
5046933,-0.02,-0.09,0.95,2.08,2.93,1.34,873.45,31.17
5046971,-0.02,-0.09,0.95,1.89,3.11,1.28,873.43,31.17
5047021,-0.01,-0.09,0.97,1.89,3.3,1.28,873.46,31.17
5047059,-0.02,-0.09,0.98,1.46,3.48,1.04,873.46,31.17
5047097,-0.01,-0.09,1.03,2.01,3.48,0.98,873.5,31.17
5047136,-0.01,-0.09,1.02,2.14,3.78,0.73,873.43,31.18
5047174,-0.01,-0.09,1.02,1.95,3.36,0.73,873.55,31.18
5047212,-0.01,-0.09,1.02,1.89,4.33,0.55,873.54,31.2
5047250,-0.02,-0.09,1.0,1.95,3.91,0.49,873.53,31.18
5047288,-0.02,-0.09,1.01,2.26,4.39,0.06,873.54,31.18
5047326,-0.02,-0.1,0.97,2.2,4.64,0.06,873.53,31.19
5047365,-0.02,-0.08,1.01,2.26,4.15,-0.06,873.53,31.18
5047440,-0.04,-0.09,0.99,2.2,5.49,-0.06,873.56,31.16
5047478,-0.03,-0.1,1.04,2.2,5.92,-0.18,873.56,31.17
5047517,-0.02,-0.1,1.01,1.95,5.86,-0.18,873.55,31.17
5047606,-0.02,-0.08,1.03,1.89,6.23,-0.24,873.56,31.14
5047644,-0.04,-0.08,1.05,2.08,6.71,-0.18,873.59,31.15
5047683,-0.04,-0.09,1.02,2.08,6.16,-0.24,873.62,31.15
5047721,-0.02,-0.08,1.08,1.95,6.77,-0.31,873.62,31.16
5047759,-0.03,-0.09,1.06,2.2,7.57,-0.37,873.61,31.15
5047797,-0.02,-0.08,1.07,2.01,7.87,-0.37,873.6,31.17
5047847,-0.02,-0.09,1.0,1.83,8.18,-0.37,873.61,31.15
5047885,-0.04,-0.08,0.99,1.53,7.39,-0.31,873.67,31.16
5047923,-0.02,-0.09,0.97,1.53,7.93,-0.49,873.67,31.17
5047962,-0.03,-0.09,0.95,1.34,7.39,-0.43,873.66,31.18
5048000,-0.04,-0.09,0.98,1.59,7.69,-0.49,873.67,31.17
5048038,-0.03,-0.1,0.95,1.77,7.39,-0.55,873.71,31.18
5048076,-0.02,-0.08,0.98,1.1,7.69,-0.55,873.63,31.16
5048114,-0.04,-0.08,0.97,1.28,7.75,-0.61,873.67,31.17
5048152,-0.04,-0.09,1.0,1.16,7.51,-0.67,873.71,31.17
5048191,-0.03,-0.09,0.99,1.16,7.87,-0.61,873.69,31.18
5048240,-0.03,-0.08,1.03,0.98,7.57,-0.67,873.69,31.17
5048279,-0.03,-0.09,1.03,0.79,7.75,-0.61,873.8,31.18
5048317,-0.05,-0.08,1.07,0.73,7.63,-0.55,873.67,31.15
5048355,-0.06,-0.09,1.05,0.73,7.69,-0.55,873.72,31.18
5048393,-0.04,-0.08,1.1,0.79,6.16,-0.43,873.73,31.19
5048431,-0.05,-0.08,1.1,0.79,6.71,-0.49,873.74,31.18
5048469,-0.04,-0.1,1.08,1.04,5.68,-0.49,873.81,31.17
5048508,-0.03,-0.08,1.11,1.16,4.7,-0.37,873.77,31.19
5048546,-0.05,-0.09,1.06,1.28,4.39,-0.31,873.8,31.18
5048596,-0.05,-0.08,1.04,0.98,2.81,-0.31,873.76,31.17
5048634,-0.05,-0.08,1.03,0.73,2.56,-0.24,873.77,31.17
5048672,-0.05,-0.09,1.02,0.55,1.1,-0.24,873.7,31.17
5048710,-0.06,-0.08,1.03,0.61,0.67,-0.24,873.74,31.17
5048748,-0.03,-0.08,1.06,0.61,0.67,-0.31,873.76,31.17
5048786,-0.05,-0.09,1.04,0.37,1.1,-0.12,873.74,31.16
5048824,-0.06,-0.07,1.07,0.18,0.67,-0.24,873.83,31.17
5048863,-0.06,-0.08,1.04,0.43,1.89,-0.31,873.79,31.17
5048901,-0.07,-0.09,1.03,0.55,3.17,-0.31,873.78,31.17
5048939,-0.05,-0.08,1.07,0.49,3.54,-0.37,873.88,31.17
5048989,-0.05,-0.08,1.04,0.55,4.46,-0.24,873.85,31.15
