timestamp,acc_x,acc_y,acc_z,rot_x,rot_y,rot_z,qfe,temp,Unnamed: 10
5351509,-0.03,-0.06,1.11,1.46,3.05,0.55,886.04,21.55,
5351548,-0.02,-0.09,1.07,1.22,5.37,0.73,886.05,21.56,
5351598,-0.02,-0.06,1.2,1.65,4.58,0.37,886.12,21.56,
5351636,-0.03,-0.08,1.19,0.85,6.65,0.67,886.02,21.54,
5351674,0.03,-0.07,1.24,0.31,4.33,0.37,886.09,21.58,
5351712,0.0,-0.05,1.32,0.12,4.52,0.24,886.1,21.56,
5351751,-0.02,-0.05,1.31,0.0,4.52,0.55,886.15,21.56,
5351789,0.01,-0.05,1.38,0.55,4.21,0.43,886.12,21.56,
5351827,0.04,-0.04,1.42,0.73,2.99,0.24,886.12,21.56,
5351865,-0.01,-0.07,1.34,1.1,3.66,0.67,886.16,21.56,
5351904,0.0,-0.08,1.21,1.22,4.46,0.24,886.22,21.57,
5351942,0.05,-0.07,1.27,2.2,3.36,-0.24,886.17,21.56,
5351992,-0.02,-0.07,1.01,1.77,3.42,0.0,886.25,21.54,
5352030,0.02,-0.06,1.06,3.36,2.62,-0.31,886.15,21.56,
5352068,0.0,-0.08,0.84,1.89,3.78,-0.67,886.12,21.56,
5352107,-0.01,-0.05,0.96,2.5,0.98,-0.55,886.17,21.57,
5352145,0.01,-0.1,0.96,1.83,2.44,-0.55,886.16,21.57,
5352183,0.01,-0.09,1.04,1.71,2.38,-1.34,886.17,21.56,
5352221,-0.02,-0.07,1.04,1.77,3.36,-0.98,886.16,21.56,
5352260,0.01,-0.05,1.11,1.1,2.87,-1.28,886.17,21.57,
5352298,0.0,-0.05,1.18,1.22,1.71,-1.34,886.16,21.56,
5352348,-0.02,-0.05,1.22,0.85,0.12,-1.22,886.22,21.57,
5352386,0.03,-0.08,1.24,1.22,1.1,-1.22,886.17,21.55,
5352425,0.03,-0.07,1.19,0.61,0.18,-1.65,886.19,21.56,
5352463,0.0,-0.05,1.29,1.83,-0.79,-1.65,886.23,21.56,
5352501,0.0,-0.08,1.16,0.92,0.98,-1.65,886.21,21.56,
5352539,-0.0,-0.06,1.27,2.08,-0.61,-1.83,886.19,21.57,
5352578,-0.01,-0.09,1.18,1.22,0.67,-1.83,886.17,21.56,
5352616,-0.0,-0.06,1.24,2.14,-1.34,-2.08,886.22,21.56,
5352654,0.0,-0.07,1.13,1.53,0.79,-2.2,886.24,21.57,
5352692,-0.01,-0.07,1.12,1.89,0.0,-2.26,886.22,21.56,
5352768,0.0,-0.09,1.05,2.01,1.16,-2.38,886.19,21.54,
5352807,-0.03,-0.06,1.06,2.2,1.28,-2.56,886.23,21.56,
5352845,-0.02,-0.07,1.05,1.89,1.34,-2.44,886.23,21.55,
5352935,-0.02,-0.08,1.05,2.01,0.55,-2.26,886.21,21.51,
5352973,-0.01,-0.07,1.05,1.95,0.12,-2.44,886.23,21.53,
5353012,-0.03,-0.07,1.02,1.77,-0.06,-2.26,886.22,21.54,
5353050,-0.03,-0.07,1.03,1.95,-0.85,-2.5,886.23,21.55,
5353088,-0.03,-0.08,0.99,1.83,-0.49,-2.32,886.16,21.54,
5353126,-0.02,-0.07,0.98,1.95,-0.24,-2.5,886.2,21.54,
5353176,-0.02,-0.07,0.96,1.83,-0.12,-2.38,886.16,21.53,
5353215,-0.03,-0.07,0.98,1.71,0.0,-2.32,886.22,21.55,
5353253,-0.02,-0.07,0.98,1.83,0.18,-2.38,886.2,21.56,
5353291,-0.04,-0.07,0.99,1.77,0.0,-2.56,886.24,21.55,
5353329,-0.04,-0.07,1.01,1.89,0.37,-2.32,886.24,21.54,
5353368,-0.03,-0.07,1.0,1.77,0.49,-2.38,886.15,21.54,
5353406,-0.03,-0.07,1.01,1.83,0.67,-2.44,886.2,21.56,
5353444,-0.04,-0.07,0.99,1.53,1.46,-2.2,886.17,21.56,
5353482,-0.04,-0.07,1.03,1.71,2.08,-2.01,886.15,21.56,
5353521,-0.04,-0.07,1.0,1.53,2.87,-2.08,886.19,21.56,
5353571,-0.05,-0.06,1.04,1.83,2.93,-2.01,886.17,21.55,
