timestamp,acc_x,acc_y,acc_z,rot_x,rot_y,rot_z,qfe,temp
2112525,0.03,-0.08,1.01,2.01,6.29,0.79,923.44,35.4
2112563,0.0,-0.07,0.96,1.16,7.51,0.79,923.51,35.42
2112613,0.03,-0.06,1.15,1.77,4.82,0.61,923.41,35.39
2112651,0.05,-0.09,1.13,0.49,7.39,0.61,923.49,35.4
2112689,0.03,-0.07,1.16,0.73,5.31,0.31,923.55,35.4
2112727,0.02,-0.06,1.18,1.04,7.14,0.31,923.51,35.4
2112765,0.03,-0.06,1.09,0.37,7.69,0.12,923.62,35.42
2112803,0.03,-0.06,1.17,0.31,6.84,0.12,923.46,35.41
2112841,-0.0,-0.08,1.08,-0.55,8.42,-0.12,923.48,35.4
2112879,0.03,-0.05,1.21,-0.37,7.32,0.12,923.54,35.42
2112917,0.03,-0.06,1.23,-0.73,9.52,0.0,923.45,35.42
2112955,0.0,-0.06,1.23,-0.43,7.75,0.0,923.47,35.41
2113005,0.01,-0.05,1.27,-1.16,9.52,-0.18,923.51,35.41
2113043,0.02,-0.06,1.31,-0.49,9.64,-0.12,923.58,35.41
2113081,0.03,-0.06,1.27,-0.55,9.03,0.18,923.57,35.4
2113119,-0.01,-0.05,1.28,0.55,8.67,-0.31,923.59,35.41
2113157,0.0,-0.05,1.25,0.12,9.4,0.12,923.52,35.41
2113195,0.02,-0.05,1.28,0.43,8.85,0.12,923.59,35.41
2113233,0.04,-0.07,1.29,1.1,7.93,-0.12,923.5,35.41
2113271,0.01,-0.08,1.23,0.55,10.44,-0.06,923.54,35.42
2113309,0.01,-0.05,1.24,2.26,10.38,-0.12,923.54,35.4
2113359,0.01,-0.07,1.2,2.56,9.83,-0.06,923.53,35.38
2113397,-0.02,-0.07,1.05,2.99,12.02,0.0,923.58,35.4
2113435,0.02,-0.08,1.11,4.27,11.96,-0.18,923.49,35.4
2113473,0.05,-0.09,1.05,3.85,13.31,-0.31,923.55,35.4
2113511,0.02,-0.07,1.0,5.19,11.41,-0.37,923.5,35.41
2113549,0.01,-0.09,1.0,5.62,12.15,-0.24,923.5,35.38
2113587,0.1,-0.07,0.98,6.23,12.51,-0.55,923.46,35.38
2113625,0.03,-0.07,0.95,6.59,11.41,-0.43,923.51,35.4
2113663,0.06,-0.09,0.94,7.08,11.23,-0.37,923.51,35.4
2113701,0.05,-0.08,0.87,6.84,9.4,-0.67,923.44,35.39
2113751,-0.01,-0.08,0.81,7.69,9.03,-0.73,923.47,35.39
2113789,0.09,-0.1,0.78,7.93,7.63,-1.1,923.5,35.4
2113827,0.03,-0.08,0.75,7.57,8.91,-1.46,923.49,35.4
2113865,0.02,-0.1,0.76,8.18,8.85,-1.77,923.48,35.39
2113903,0.06,-0.1,0.75,7.57,8.85,-1.77,923.49,35.4
2113941,0.06,-0.09,0.79,7.57,10.93,-2.2,923.45,35.39
2113980,0.02,-0.1,0.72,6.96,12.51,-2.26,923.49,35.41
