timestamp,acc_x,acc_y,acc_z,rot_x,rot_y,rot_z,qfe,temp,Unnamed: 10
6475502,-0.0,-0.05,0.97,2.69,2.62,3.42,949.71,21.08,
6475541,0.0,-0.06,0.97,2.5,3.17,3.23,949.73,21.09,
6475579,-0.0,-0.05,0.96,2.56,3.17,3.11,949.72,21.1,
6475617,0.01,-0.05,1.0,2.5,3.05,2.99,949.73,21.09,
6475656,0.0,-0.05,0.98,2.14,2.99,2.87,949.75,21.1,
6475706,0.0,-0.05,1.04,2.01,2.32,2.81,949.74,21.09,
6475744,-0.0,-0.05,1.04,1.77,2.38,2.75,949.64,21.08,
6475782,-0.0,-0.05,1.06,1.4,2.14,2.75,949.73,21.09,
6475821,0.01,-0.04,1.09,1.22,1.95,2.44,949.77,21.1,
6475859,-0.0,-0.04,1.1,1.1,2.14,2.5,949.73,21.1,
6475897,-0.01,-0.04,1.08,0.79,2.32,2.38,949.72,21.09,
6475936,-0.0,-0.04,1.15,1.04,2.38,2.38,949.69,21.09,
6475974,0.01,-0.04,1.15,0.79,3.17,2.32,949.73,21.09,
6476012,0.0,-0.03,1.21,1.04,2.38,2.08,949.72,21.1,
6476062,0.0,-0.04,1.22,1.28,2.99,2.01,949.69,21.08,
6476101,0.0,-0.03,1.24,1.34,2.81,1.89,949.74,21.08,
6476139,0.0,-0.03,1.24,1.34,2.5,1.83,949.64,21.09,
6476177,0.01,-0.03,1.22,1.59,2.44,1.65,949.66,21.09,
6476216,-0.01,-0.03,1.22,1.53,2.56,1.65,949.79,21.1,
6476254,0.0,-0.03,1.23,1.71,2.62,1.53,949.68,21.1,
6476292,0.0,-0.04,1.21,1.65,2.44,1.59,949.65,21.09,
6476330,0.0,-0.03,1.18,1.71,1.83,1.34,949.76,21.1,
6476369,-0.01,-0.04,1.17,2.26,1.34,1.4,949.66,21.09,
6476407,-0.0,-0.05,1.13,2.14,1.1,1.46,949.7,21.1,
6476457,0.0,-0.04,1.12,2.26,0.73,1.28,949.73,21.08,
6476495,-0.01,-0.05,1.07,2.69,0.73,0.98,949.71,21.09,
6476534,-0.01,-0.05,1.04,2.56,0.92,1.1,949.74,21.09,
6476572,-0.0,-0.05,1.04,2.75,1.1,0.92,949.77,21.1,
6476610,-0.01,-0.05,1.0,2.93,1.4,0.85,949.73,21.09,
6476649,-0.01,-0.05,1.0,2.75,1.4,0.85,949.69,21.09,
6476687,-0.0,-0.05,0.97,2.44,0.61,0.73,949.68,21.09,
6476725,-0.01,-0.06,0.96,2.75,0.43,0.73,949.68,21.09,
6476763,-0.01,-0.06,0.94,2.38,0.67,0.79,949.68,21.1,
6476802,-0.01,-0.05,0.94,2.32,0.49,0.85,949.69,21.09,
6476852,-0.02,-0.06,0.92,1.95,1.28,0.55,949.75,21.08,
6476890,-0.0,-0.06,0.92,1.95,1.65,0.61,949.63,21.08,
6476928,-0.02,-0.06,0.92,1.89,1.83,0.61,949.74,21.09,
6476967,-0.02,-0.05,0.92,1.59,2.62,0.67,949.63,21.1,
6477005,-0.02,-0.06,0.91,1.53,3.6,0.49,949.69,21.11,
6477043,-0.0,-0.05,0.93,1.53,4.21,0.31,949.73,21.1,
6477082,-0.02,-0.06,0.92,1.16,4.58,0.49,949.64,21.09,
6477120,-0.01,-0.05,0.96,1.16,4.33,0.31,949.65,21.1,
6477158,-0.01,-0.06,0.96,1.16,5.13,0.31,949.7,21.1,
6477197,-0.02,-0.06,0.94,1.22,4.76,0.49,949.59,21.1,
6477247,-0.02,-0.06,0.99,1.34,4.88,0.55,949.62,21.09,
6477285,-0.02,-0.05,1.0,1.22,4.52,0.49,949.64,21.1,
6477323,-0.01,-0.04,1.06,1.1,4.09,0.55,949.59,21.1,
6477361,-0.01,-0.05,1.09,1.04,4.64,0.61,949.58,21.09,
6477400,-0.02,-0.04,1.14,0.98,4.52,0.55,949.64,21.1,
6477438,-0.02,-0.04,1.17,0.98,5.25,0.61,949.66,21.09,
6477476,-0.02,-0.03,1.19,1.16,4.76,0.49,949.63,21.1,
6477515,-0.02,-0.04,1.17,1.04,5.62,0.55,949.62,21.1,
6477553,-0.01,-0.03,1.16,0.55,6.23,0.55,949.58,21.09,
6477603,-0.01,-0.03,1.16,0.73,6.9,0.55,949.57,21.09,
6477641,-0.02,-0.04,1.14,0.49,6.65,0.67,949.63,21.09,
6477680,-0.02,-0.03,1.17,0.92,6.84,0.79,949.57,21.09,
6477718,-0.02,-0.04,1.15,1.4,6.96,0.49,949.59,21.09,
6477756,-0.02,-0.04,1.18,1.65,6.53,0.73,949.58,21.09,
6477795,-0.0,-0.04,1.16,1.95,6.65,0.73,949.54,21.1,
6477833,-0.01,-0.04,1.15,1.95,6.59,0.49,949.61,21.11,
6477871,-0.03,-0.03,1.08,1.89,6.59,0.92,949.56,21.1,
6477910,-0.02,-0.03,1.09,2.26,5.68,0.92,949.54,21.1,
6477948,-0.02,-0.04,1.06,2.26,5.98,0.73,949.55,21.11,
6478024,-0.01,-0.04,1.09,2.38,4.88,0.98,949.53,21.07,
6478063,-0.01,-0.04,1.11,2.75,4.33,0.73,949.56,21.09,
6478101,-0.01,-0.05,1.05,2.44,4.7,0.67,949.55,21.09,
6478191,-0.01,-0.05,0.98,2.14,3.91,0.67,949.55,21.06,
6478229,-0.01,-0.04,0.99,2.75,2.75,0.73,949.52,21.07,
6478267,-0.01,-0.05,0.96,2.62,2.99,0.49,949.52,21.06,
6478306,0.01,-0.06,0.95,2.87,2.32,0.43,949.56,21.09,
6478344,-0.01,-0.04,0.94,2.62,1.53,0.43,949.5,21.08,
6478382,-0.01,-0.06,0.96,2.81,1.4,0.37,949.51,21.08,
6478420,-0.0,-0.06,0.97,2.62,1.04,0.24,949.53,21.09,
6478470,-0.02,-0.06,0.98,2.62,0.24,0.24,949.51,21.08,
6478509,-0.01,-0.06,0.98,2.38,0.61,0.0,949.47,21.08,
6478547,-0.01,-0.06,0.97,2.01,0.43,0.18,949.43,21.08,
6478585,-0.01,-0.04,1.04,1.95,-0.31,0.0,949.45,21.07,
6478623,-0.02,-0.06,0.95,1.77,0.37,-0.06,949.45,21.09,
6478662,-0.01,-0.04,1.04,2.08,-0.73,-0.18,949.46,21.09,
6478700,0.0,-0.05,1.03,2.01,0.85,-0.18,949.46,21.09,
6478738,-0.01,-0.04,1.01,2.08,0.55,-0.31,949.44,21.09,
6478776,-0.03,-0.03,1.08,2.38,1.83,-0.49,949.38,21.1,
6478827,-0.02,-0.06,1.03,2.2,2.56,-0.79,949.47,21.08,
6478865,-0.01,-0.05,1.07,2.62,3.48,-0.85,949.4,21.1,
6478903,-0.01,-0.05,1.04,2.14,4.15,-1.1,949.39,21.09,
6478941,-0.02,-0.04,1.06,2.56,4.03,-1.22,949.36,21.09,
6478980,-0.02,-0.05,1.0,1.89,4.88,-1.28,949.44,21.1,
6479018,-0.02,-0.05,1.0,2.2,4.46,-0.98,949.4,21.09,
6479056,-0.01,-0.06,0.98,2.01,4.88,-1.28,949.41,21.1,
6479095,-0.02,-0.05,0.96,2.44,4.64,-1.34,949.41,21.1,
6479133,-0.02,-0.05,0.96,2.26,4.21,-1.16,949.4,21.1,
6479171,-0.01,-0.06,0.9,1.89,3.36,-1.34,949.37,21.1,
6479221,-0.02,-0.05,0.95,2.26,2.99,-1.22,949.31,21.1,
6479260,-0.0,-0.06,0.92,1.65,2.87,-1.28,949.33,21.1,
6479298,-0.02,-0.04,1.0,2.14,1.59,-1.28,949.38,21.11,
6479336,-0.03,-0.05,1.01,1.77,1.95,-1.1,949.31,21.09,
6479375,-0.03,-0.05,1.02,1.89,1.04,-1.22,949.31,21.1,
6479413,-0.03,-0.05,1.08,2.01,1.34,-1.28,949.33,21.1,
6479451,-0.04,-0.05,1.0,1.53,2.26,-0.92,949.29,21.11,
6479490,-0.04,-0.03,1.07,2.26,0.92,-1.04,949.3,21.11,
6479528,-0.03,-0.05,1.04,1.89,1.28,-0.92,949.26,21.1,
6479578,-0.04,-0.04,1.06,2.08,0.61,-0.79,949.23,21.1,
6479616,-0.03,-0.05,1.03,1.89,0.85,-0.55,949.24,21.1,
6479655,-0.04,-0.05,1.02,1.89,0.43,-0.73,949.26,21.11,
6479693,-0.03,-0.04,1.05,2.08,0.06,-0.73,949.22,21.1,
6479731,-0.03,-0.05,1.0,2.08,0.24,-0.43,949.22,21.11,
6479770,-0.03,-0.05,0.99,2.01,0.31,-0.61,949.21,21.11,
6479808,-0.04,-0.04,0.99,1.89,0.06,-0.43,949.25,21.1,
6479846,-0.04,-0.04,1.03,2.44,-0.31,-0.43,949.23,21.1,
6479885,-0.03,-0.05,0.95,2.26,0.49,-0.49,949.22,21.11,
6479935,-0.04,-0.05,0.96,2.69,-15.62,-0.31,949.14,21.09,
6479973,-0.03,-0.05,0.91,2.08,0.18,-0.18,949.11,21.08,
6480011,-0.05,-0.05,0.94,2.56,-0.37,-0.18,949.17,21.1,
6480050,-0.04,-0.05,0.9,2.08,0.0,-0.12,949.15,21.09,
6480088,-0.05,-0.05,0.92,2.87,-1.04,0.0,949.16,21.1,
6480126,-0.05,-0.06,0.86,2.38,-0.55,0.0,949.12,21.1,
6480165,-0.04,-0.05,0.89,2.69,-0.55,0.0,949.12,21.1,
6480203,-0.04,-0.06,0.82,2.93,0.92,0.0,949.12,21.1,
6480241,-0.07,-0.05,0.78,2.44,1.59,-0.06,949.12,21.1,
6480279,-0.04,-0.05,0.83,3.11,3.05,0.06,949.07,21.1,
6480330,-0.06,-0.06,0.82,2.2,3.54,0.37,949.08,21.09,
6480368,-0.07,-0.05,0.91,2.62,4.64,0.37,949.1,21.1,
6480406,-0.04,-0.06,0.91,1.59,5.43,0.43,949.01,21.1,
6480444,-0.05,-0.05,0.95,2.08,6.04,0.61,949.03,21.1,
6480483,-0.07,-0.06,0.95,1.71,6.59,0.79,949.08,21.11,
6480521,-0.07,-0.06,0.94,1.77,6.16,0.98,949.06,21.1,
6480559,-0.06,-0.04,0.96,1.59,6.23,1.04,949.07,21.1,
6480598,-0.06,-0.04,0.97,1.83,5.92,1.59,949.04,21.11,
6480636,-0.06,-0.05,0.94,1.89,5.74,1.77,948.98,21.09,
6480674,-0.06,-0.05,1.0,1.83,5.0,1.77,948.97,21.1,
6480724,-0.04,-0.05,1.0,1.53,4.7,2.2,948.95,21.09,
6480763,-0.05,-0.04,1.05,1.71,4.15,2.26,948.97,21.1,
6480801,-0.05,-0.03,1.02,1.22,3.72,2.81,949.0,21.1,
6480839,-0.05,-0.04,1.05,1.46,2.69,2.87,949.04,21.12,
6480878,-0.04,-0.05,1.03,1.1,2.14,3.23,949.01,21.11,
6480916,-0.04,-0.04,1.05,1.22,1.34,3.23,949.0,21.1,
6480954,-0.04,-0.03,1.02,0.73,0.73,3.66,949.01,21.1,
6480993,-0.05,-0.02,1.06,1.04,-0.06,3.72,948.97,21.11,
6481031,-0.03,-0.04,1.04,0.31,0.43,3.85,948.96,21.11,
6481107,-0.01,-0.04,1.09,-1.04,0.31,4.03,948.95,21.06,
6481145,-0.03,-0.04,1.1,-1.28,-0.73,4.09,948.97,21.1,
6481183,-0.02,-0.03,1.1,-1.53,-0.61,4.15,948.95,21.09,
6481273,-0.03,-0.04,1.11,-1.04,-0.61,4.15,948.93,21.06,
6481312,-0.03,-0.04,1.1,-0.67,0.0,4.27,948.97,21.08,
6481350,-0.03,-0.04,1.08,-0.49,0.06,4.15,948.98,21.08,
6481388,-0.02,-0.03,1.09,-0.24,0.06,4.09,948.97,21.08,
