timestamp,acc_x,acc_y,acc_z,rot_x,rot_y,rot_z,qfe,temp,Unnamed: 10
3543536,-0.01,-0.08,1.08,1.4,3.36,3.05,924.65,24.63,
3543574,-0.01,-0.08,1.06,1.53,3.05,2.99,924.65,24.64,
3543613,-0.02,-0.09,1.05,1.53,3.66,2.99,924.65,24.64,
3543651,-0.02,-0.08,1.05,1.65,3.78,2.81,924.67,24.63,
3543689,-0.01,-0.09,1.05,1.59,3.48,2.81,924.69,24.65,
3543727,-0.01,-0.08,1.03,1.59,3.3,2.69,924.63,24.63,
3543766,-0.01,-0.09,1.05,1.22,3.66,2.69,924.64,24.63,
3543815,-0.02,-0.09,1.04,1.34,2.99,2.69,924.67,24.63,
3543854,-0.02,-0.09,1.02,1.4,3.17,2.5,924.63,24.64,
3543892,-0.01,-0.08,1.0,1.4,3.11,2.56,924.72,24.64,
3543930,-0.01,-0.08,1.01,1.4,2.93,2.38,924.64,24.64,
3543968,-0.02,-0.09,0.98,1.4,2.81,2.44,924.59,24.63,
3544006,-0.02,-0.08,0.98,1.34,2.56,2.38,924.67,24.64,
3544045,-0.01,-0.08,0.99,1.34,2.99,2.14,924.68,24.66,
3544083,-0.01,-0.08,0.97,1.4,2.32,2.26,924.7,24.65,
3544121,-0.02,-0.08,0.98,1.71,2.69,2.08,924.66,24.65,
3544159,-0.01,-0.08,0.95,1.28,2.69,2.08,924.58,24.63,
3544209,-0.02,-0.08,0.95,1.4,2.62,2.14,924.67,24.63,
3544247,-0.02,-0.08,0.94,1.53,2.32,1.89,924.65,24.64,
3544286,-0.02,-0.08,0.96,1.53,2.56,1.83,924.67,24.63,
3544324,-0.01,-0.08,0.97,1.46,2.69,1.83,924.68,24.64,
3544362,-0.02,-0.08,0.99,1.59,2.5,1.77,924.68,24.64,
3544400,-0.02,-0.08,1.01,1.71,2.75,1.71,924.66,24.65,
3544438,-0.03,-0.08,0.97,1.71,2.93,1.59,924.66,24.65,
3544477,-0.04,-0.08,1.0,1.89,2.5,1.65,924.57,24.65,
3544515,-0.04,-0.09,0.95,1.95,3.78,1.71,924.68,24.65,
3544565,-0.04,-0.07,0.97,1.95,3.3,1.59,924.63,24.64,
3544603,-0.04,-0.08,0.95,1.65,4.39,1.65,924.63,24.64,
3544641,-0.03,-0.08,0.93,1.65,4.94,1.53,924.57,24.64,
3544679,-0.04,-0.07,0.94,1.46,5.55,1.65,924.65,24.65,
3544718,-0.04,-0.07,0.98,1.83,5.68,1.77,924.63,24.65,
3544756,-0.03,-0.08,0.96,1.77,5.86,1.71,924.65,24.65,
3544794,-0.03,-0.08,0.97,2.2,5.74,1.77,924.62,24.65,
3544832,-0.04,-0.08,0.95,2.14,6.41,1.71,924.68,24.65,
3544870,-0.03,-0.07,0.98,2.38,5.55,2.2,924.57,24.64,
3544909,-0.03,-0.08,0.97,2.5,5.43,1.89,924.67,24.66,
3544959,-0.06,-0.08,0.92,2.56,5.07,2.2,924.6,24.63,
3544997,-0.04,-0.08,0.94,2.62,4.76,2.14,924.65,24.64,
3545035,-0.03,-0.08,0.93,2.56,4.21,2.08,924.71,24.65,
3545073,-0.03,-0.07,0.95,2.44,3.11,2.26,924.7,24.66,
3545111,-0.04,-0.08,0.95,2.5,3.11,2.32,924.65,24.65,
3545150,-0.03,-0.08,0.95,2.44,2.14,2.32,924.69,24.65,
3545188,-0.03,-0.08,0.94,2.26,1.77,2.56,924.66,24.66,
3545226,-0.03,-0.07,0.93,2.2,1.1,2.38,924.69,24.66,
3545264,-0.04,-0.07,0.95,2.44,1.16,2.38,924.68,24.65,
3545303,-0.03,-0.09,0.9,2.14,1.71,2.56,924.7,24.65,
3545353,-0.03,-0.08,0.96,2.62,0.67,2.56,924.66,24.64,
3545391,-0.02,-0.08,0.96,2.44,1.83,2.44,924.7,24.65,
3545429,-0.04,-0.08,0.97,2.75,1.77,2.44,924.67,24.66,
3545467,-0.03,-0.08,0.99,2.56,1.71,2.5,924.73,24.66,
3545505,-0.02,-0.08,0.98,2.81,1.65,2.38,924.7,24.64,
3545544,-0.03,-0.08,0.94,2.44,2.44,2.5,924.7,24.65,
3545582,-0.02,-0.08,0.94,2.5,2.44,2.38,924.73,24.64,
3545620,-0.03,-0.08,0.93,2.32,2.62,2.32,924.74,24.65,
3545658,-0.02,-0.08,0.93,2.32,2.69,2.2,924.77,24.65,
3545817,-0.01,-0.08,1.0,2.5,2.38,2.08,924.77,24.6,
3545855,-0.01,-0.08,0.98,2.32,1.95,2.08,924.74,24.61,
3545893,-0.03,-0.08,0.97,2.38,1.34,2.08,924.78,24.61,
3546084,-0.03,-0.08,0.9,1.95,2.14,2.08,924.69,24.54,
3546122,-0.02,-0.08,0.93,1.71,2.14,1.89,924.77,24.57,
3546161,-0.03,-0.08,0.9,1.83,2.2,1.95,924.72,24.58,
3546199,-0.03,-0.08,0.93,1.83,1.83,1.77,924.82,24.6,
3546237,-0.03,-0.08,0.93,1.89,2.38,1.77,924.78,24.61,
3546275,-0.02,-0.08,0.96,1.89,2.08,1.83,924.79,24.6,
3546313,-0.03,-0.08,0.96,1.77,1.89,1.77,924.73,24.59,
3546363,-0.03,-0.08,0.93,1.83,2.2,1.71,924.79,24.6,
3546402,-0.03,-0.08,0.94,1.83,2.44,1.83,924.81,24.61,
