timestamp,acc_x,acc_y,acc_z,rot_x,rot_y,rot_z,qfe,temp
2432522,-0.05,-0.09,0.95,1.89,5.62,0.0,904.35,34.16
2432560,-0.06,-0.1,0.86,1.77,7.45,-0.06,904.29,34.14
2432598,-0.04,-0.09,0.9,2.32,6.71,0.12,904.34,34.16
2432636,-0.02,-0.11,0.89,1.83,8.48,0.31,904.31,34.14
2432674,-0.04,-0.1,0.89,2.08,6.96,0.43,904.33,34.16
2432712,-0.03,-0.1,0.93,2.01,7.81,0.67,904.24,34.14
2432750,-0.04,-0.1,0.94,1.89,7.75,0.73,904.3,34.15
2432788,-0.05,-0.09,0.96,2.01,6.77,0.85,904.3,34.16
2432838,-0.04,-0.1,0.98,2.08,6.59,0.92,904.32,34.13
2432876,-0.06,-0.09,1.0,2.2,5.74,1.22,904.29,34.15
2432914,-0.04,-0.09,1.02,2.32,6.04,1.34,904.34,34.14
2432952,-0.06,-0.1,1.01,2.44,5.68,1.46,904.27,34.13
2432990,-0.05,-0.1,1.01,2.38,5.74,1.59,904.33,34.14
2433028,-0.04,-0.09,1.03,2.5,5.25,1.59,904.32,34.15
2433066,-0.03,-0.1,1.01,2.14,5.55,1.95,904.26,34.15
2433104,-0.04,-0.11,1.01,2.69,6.53,1.95,904.27,34.14
2433142,-0.04,-0.09,1.01,2.5,6.41,2.01,904.25,34.14
2433219,-0.06,-0.1,1.0,2.44,6.29,2.32,904.27,34.11
2433257,-0.06,-0.1,0.98,2.5,6.35,2.26,904.21,34.11
2433295,-0.02,-0.1,1.01,2.5,6.04,2.32,904.28,34.13
2433384,-0.04,-0.1,0.91,2.56,6.47,2.81,904.26,34.09
2433423,-0.04,-0.1,0.96,2.75,5.49,2.69,904.26,34.11
2433461,-0.05,-0.11,0.92,2.75,6.23,2.81,904.24,34.11
2433499,-0.05,-0.09,0.92,2.75,5.49,2.56,904.22,34.12
2433537,-0.04,-0.09,0.93,2.93,6.16,2.75,904.2,34.12
2433575,-0.02,-0.1,0.91,2.93,5.8,2.75,904.24,34.12
2433613,-0.02,-0.1,0.91,2.93,5.8,2.75,904.19,34.13
2433663,-0.03,-0.1,0.86,2.99,6.9,2.69,904.23,34.11
2433701,-0.02,-0.1,0.88,3.11,6.16,2.75,904.18,34.13
2433739,-0.02,-0.1,0.85,2.93,5.98,2.87,904.2,34.13
2433777,-0.01,-0.09,0.86,3.23,5.55,2.81,904.2,34.12
2433815,-0.01,-0.09,0.86,3.6,5.49,2.93,904.18,34.11
2433853,0.0,-0.1,0.84,3.54,4.21,2.69,904.17,34.13
2433891,0.02,-0.1,0.8,3.54,3.72,2.62,904.15,34.13
2433930,0.0,-0.09,0.83,3.72,2.99,2.62,904.18,34.13
2433968,0.02,-0.1,0.78,3.05,2.56,2.56,904.17,34.14
2434006,-0.01,-0.09,0.81,3.36,0.79,2.26,904.15,34.13
2434056,0.02,-0.11,0.8,2.99,1.16,2.08,904.11,34.11
2434094,0.0,-0.1,0.84,3.42,-0.49,1.71,904.11,34.12
2434132,0.01,-0.1,0.82,2.87,0.24,1.59,904.15,34.14
2434170,-0.0,-0.1,0.84,2.87,-0.43,1.22,904.14,34.14
2434208,-0.0,-0.11,0.86,2.62,0.12,1.22,904.11,34.13
2434246,-0.01,-0.11,0.85,2.38,-1.04,0.79,904.14,34.13
2434284,-0.0,-0.1,0.86,2.44,-0.98,0.61,904.12,34.14
2434322,0.0,-0.11,0.85,2.08,-0.12,0.49,904.14,34.14
2434360,0.0,-0.09,0.93,2.14,-0.24,0.18,904.17,34.14
2434398,-0.01,-0.11,0.95,1.83,0.67,0.12,904.1,34.12
2434448,-0.04,-0.1,0.98,1.95,0.73,0.12,904.11,34.11
2434486,-0.0,-0.1,0.97,1.83,2.14,-0.18,904.08,34.14
2434524,0.0,-0.1,0.99,1.59,1.77,-0.37,904.13,34.13
2434562,-0.03,-0.1,0.95,1.59,2.44,-0.49,904.12,34.12
2434600,-0.01,-0.1,0.95,1.65,2.81,-0.49,904.1,34.13
2434638,0.02,-0.1,0.92,1.65,3.85,-0.67,904.11,34.13
2434676,-0.0,-0.09,0.88,1.95,3.72,-0.79,904.14,34.12
2434714,-0.02,-0.1,0.85,1.83,4.58,-0.92,904.16,34.14
2434752,-0.03,-0.09,0.91,2.08,2.32,-0.98,904.11,34.12
2434802,-0.01,-0.1,0.91,1.53,2.69,-0.79,904.12,34.11
2434840,0.0,-0.1,0.97,1.77,0.92,-1.04,904.12,34.12
2434878,-0.02,-0.1,0.94,1.28,1.95,-1.04,904.08,34.12
2434916,-0.02,-0.1,0.9,1.28,1.53,-1.16,904.13,34.13
2434954,-0.05,-0.09,0.91,1.53,2.01,-1.22,904.16,34.12
2434992,-0.03,-0.11,0.88,1.53,2.99,-1.4,904.19,34.13
2435030,-0.03,-0.09,0.92,1.22,2.81,-1.28,904.14,34.12
2435068,-0.04,-0.1,0.91,1.1,2.75,-1.1,904.18,34.14
