timestamp,acc_x,acc_y,acc_z,rot_x,rot_y,rot_z,qfe,temp,Unnamed: 10
6651505,-0.03,-0.07,1.1,1.65,2.44,3.11,938.48,21.28,
6651543,-0.02,-0.06,1.11,1.16,2.87,3.17,938.46,21.28,
6651581,-0.05,-0.06,1.04,1.34,1.89,3.11,938.44,21.27,
6651620,-0.06,-0.06,1.02,1.04,2.99,3.3,938.5,21.28,
6651658,-0.03,-0.07,0.94,0.98,4.39,3.23,938.5,21.28,
6651696,-0.03,-0.06,0.99,1.34,3.11,3.11,938.44,21.29,
6651734,-0.03,-0.07,0.96,1.28,3.48,3.48,938.48,21.28,
6651773,-0.02,-0.07,0.96,1.46,3.42,2.99,938.46,21.27,
6651811,-0.02,-0.07,0.96,1.53,4.33,2.99,938.49,21.28,
6651887,-0.02,-0.06,1.03,1.16,3.42,3.11,938.45,21.26,
6651925,-0.03,-0.06,1.03,0.73,3.48,3.05,938.48,21.26,
6651964,-0.02,-0.07,1.01,0.67,3.05,2.93,938.47,21.27,
6652054,-0.02,-0.06,0.99,0.37,2.69,2.87,938.45,21.24,
6652092,-0.02,-0.07,1.02,0.61,3.54,2.62,938.48,21.26,
6652130,-0.01,-0.06,1.05,0.55,4.03,2.62,938.5,21.26,
6652168,-0.05,-0.06,1.06,0.98,3.97,2.56,938.49,21.26,
6652207,-0.04,-0.06,1.05,0.98,4.15,2.56,938.41,21.25,
6652245,-0.01,-0.05,1.1,1.28,4.33,2.26,938.43,21.27,
6652283,-0.01,-0.06,1.1,1.46,4.7,2.44,938.45,21.27,
6652333,-0.04,-0.06,1.08,1.34,4.39,2.44,938.41,21.25,
6652371,-0.04,-0.06,1.11,1.46,4.94,2.5,938.4,21.26,
6652410,-0.03,-0.05,1.11,1.53,4.88,2.62,938.41,21.26,
6652448,-0.04,-0.06,1.07,1.83,4.33,2.81,938.45,21.25,
6652486,-0.04,-0.06,1.05,2.01,4.27,2.87,938.46,21.27,
6652524,-0.05,-0.07,0.96,2.26,5.0,2.99,938.47,21.27,
6652563,-0.01,-0.06,0.92,2.01,4.39,3.11,938.52,21.27,
6652601,-0.03,-0.07,0.88,2.2,4.52,3.3,938.48,21.27,
6652639,-0.02,-0.06,0.89,2.08,4.39,3.36,938.48,21.27,
6652689,-0.01,-0.07,0.89,2.08,4.39,3.05,938.43,21.26,
6652727,-0.02,-0.08,0.89,1.53,4.39,3.11,938.42,21.26,
6652766,-0.03,-0.07,0.89,1.34,4.7,2.93,938.49,21.26,
6652804,-0.03,-0.06,0.92,1.34,4.82,2.62,938.43,21.27,
6652842,-0.03,-0.07,0.9,0.67,5.31,2.75,938.5,21.27,
6652880,-0.02,-0.07,0.95,1.1,4.94,2.75,938.45,21.28,
6652919,-0.03,-0.06,0.95,1.04,5.8,2.44,938.48,21.27,
6652957,-0.01,-0.05,0.97,0.92,5.86,2.38,938.49,21.27,
6652995,-0.03,-0.06,1.04,1.71,5.49,2.38,938.39,21.28,
6653033,-0.03,-0.06,1.09,1.4,5.86,2.62,938.42,21.27,
6653083,-0.04,-0.05,1.15,1.83,5.8,2.56,938.46,21.26,
6653122,-0.03,-0.06,1.14,1.65,6.41,2.56,938.49,21.27,
6653160,-0.02,-0.05,1.17,2.26,5.98,2.38,938.5,21.28,
6653198,-0.05,-0.06,1.09,2.26,6.65,2.5,938.48,21.28,
6653236,-0.05,-0.05,1.05,2.08,6.41,2.5,938.43,21.27,
6653275,-0.03,-0.06,1.01,2.08,7.14,2.62,938.5,21.28,
6653313,-0.02,-0.06,1.01,2.08,6.41,2.32,938.48,21.28,
6653351,-0.04,-0.07,0.99,2.44,6.71,2.32,938.44,21.28,
6653389,-0.04,-0.07,0.98,2.75,7.51,2.44,938.48,21.28,
6653428,-0.0,-0.07,0.99,2.56,7.2,2.38,938.42,21.27,
6653478,-0.04,-0.06,0.92,2.38,6.47,2.2,938.41,21.26,
6653516,-0.03,-0.07,0.9,2.26,6.77,2.26,938.49,21.28,
6653554,-0.02,-0.08,0.91,2.5,6.84,2.01,938.47,21.29,
6653592,-0.01,-0.06,0.91,2.44,5.92,1.89,938.34,21.28,
6653631,-0.06,-0.06,0.88,2.44,5.49,2.08,938.39,21.28,
6653669,-0.03,-0.08,0.89,2.01,5.55,2.14,938.43,21.28,
6653707,-0.02,-0.08,0.93,2.01,5.19,1.83,938.44,21.28,
6653745,-0.02,-0.07,0.91,1.59,5.19,2.01,938.44,21.28,
6653784,-0.04,-0.07,0.93,1.77,4.7,1.95,938.4,21.26,
6653834,-0.01,-0.06,0.93,1.46,4.33,1.77,938.39,21.27,
6653872,-0.03,-0.07,0.95,1.4,3.11,1.83,938.39,21.27,
6653910,-0.02,-0.07,0.93,1.34,2.5,1.95,938.4,21.27,
6653948,-0.02,-0.06,0.93,1.71,0.12,1.77,938.42,21.28,
6653987,-0.02,-0.07,0.92,1.59,-0.18,1.95,938.44,21.28,
6654025,-0.0,-0.06,0.9,1.83,-1.34,1.71,938.44,21.27,
6654063,-0.03,-0.07,0.93,2.14,-2.75,1.83,938.46,21.29,
6654101,-0.02,-0.08,0.85,1.65,-2.44,1.71,938.38,21.28,
6654140,-0.01,-0.07,0.87,2.08,-2.99,1.53,938.39,21.27,
6654178,-0.03,-0.08,0.85,1.95,-3.11,1.53,938.44,21.29,
6654228,-0.04,-0.06,0.85,1.83,-4.09,1.34,938.39,21.27,
6654266,-0.02,-0.07,0.86,1.65,-3.6,1.22,938.45,21.27,
6654304,-0.03,-0.06,0.88,1.22,-3.42,1.28,938.46,21.28,
6654343,-0.04,-0.06,0.9,1.53,-3.11,1.28,938.51,21.28,
6654381,-0.04,-0.07,0.92,1.34,-2.5,1.34,938.46,21.29,
6654419,-0.03,-0.06,0.96,1.34,-2.32,1.1,938.52,21.29,
6654457,-0.04,-0.07,0.94,1.16,-1.46,1.1,938.5,21.28,
6654496,-0.02,-0.07,0.94,1.4,-1.77,1.28,938.5,21.29,
6654534,-0.03,-0.06,0.97,1.46,-1.22,1.16,938.51,21.28,
6654584,-0.03,-0.06,0.95,1.53,-0.85,1.34,938.54,21.27,
6654622,-0.03,-0.07,0.97,1.59,-0.31,1.04,938.51,21.28,
6654660,-0.02,-0.06,1.0,1.71,0.24,1.16,938.52,21.28,
6654699,-0.03,-0.06,0.98,1.77,0.73,1.1,938.51,21.27,
6654737,-0.03,-0.05,0.99,1.71,0.0,1.04,938.53,21.28,
6654775,-0.02,-0.06,0.97,1.95,0.31,1.1,938.52,21.29,
6654813,-0.03,-0.07,0.91,1.59,0.79,1.1,938.51,21.28,
6654852,-0.03,-0.06,0.95,1.89,0.49,1.16,938.56,21.29,
6654890,-0.01,-0.07,0.9,1.71,1.71,0.98,938.51,21.28,
6654928,-0.03,-0.06,0.95,1.77,1.34,0.98,938.51,21.28,
6655004,-0.04,-0.06,0.93,2.26,2.75,0.98,938.53,21.25,
6655042,-0.04,-0.06,0.92,1.95,3.3,0.98,938.54,21.27,
6655081,-0.03,-0.06,0.95,2.01,2.99,0.92,938.56,21.27,
6655170,-0.03,-0.06,1.02,2.14,2.87,0.98,938.58,21.25,
6655209,-0.03,-0.07,0.99,1.89,2.75,1.22,938.55,21.26,
6655247,-0.02,-0.04,1.05,2.32,1.16,1.1,938.55,21.26,
6655285,-0.04,-0.07,1.02,1.95,2.08,1.16,938.59,21.28,
6655323,-0.04,-0.07,0.96,1.65,1.1,1.16,938.56,21.27,
6655362,-0.04,-0.05,1.0,2.14,0.31,1.22,938.55,21.26,
6655400,-0.03,-0.06,0.88,1.65,0.24,1.22,938.57,21.27,
6655450,-0.05,-0.06,0.89,2.26,-0.24,1.28,938.56,21.26,
6655488,-0.04,-0.07,0.85,1.77,1.04,1.28,938.54,21.27,
6655526,-0.04,-0.07,0.85,1.71,0.43,1.16,938.51,21.27,
6655565,-0.04,-0.06,0.95,2.2,0.0,1.28,938.55,21.27,
6655603,-0.05,-0.07,0.88,1.89,1.04,1.22,938.56,21.27,
6655641,-0.03,-0.06,0.97,2.56,-0.06,1.16,938.56,21.27,
6655679,-0.06,-0.07,0.92,2.38,1.04,1.46,938.56,21.28,
6655718,-0.07,-0.05,0.93,2.44,0.92,1.16,938.57,21.28,
6655756,-0.06,-0.04,1.08,3.11,1.53,1.34,938.63,21.28,
6655806,-0.04,-0.07,0.89,1.83,2.14,1.59,938.57,21.27,
6655844,-0.08,-0.05,1.0,3.72,0.67,2.01,938.6,21.27,
6655882,-0.04,-0.09,0.74,1.71,3.91,2.08,938.66,21.28,
6655921,-0.02,-0.04,0.87,3.23,-0.37,2.26,938.67,21.28,
6655959,-0.05,-0.08,0.74,4.15,1.77,2.69,938.63,21.28,
6655997,-0.05,-0.08,0.77,2.99,1.04,2.75,938.66,21.28,
6656035,-0.05,-0.07,0.79,3.85,2.32,2.93,938.62,21.27,
6656074,-0.03,-0.07,0.74,2.44,0.79,2.87,938.64,21.28,
6656112,-0.01,-0.08,0.82,2.26,1.16,2.87,938.63,21.28,
6656150,-0.01,-0.08,0.85,1.28,1.1,2.93,938.65,21.27,
6656200,-0.01,-0.08,0.9,1.28,0.61,2.99,938.69,21.27,
6656238,-0.01,-0.07,0.88,0.37,0.37,2.75,938.72,21.28,
6656277,-0.04,-0.05,0.92,0.49,0.79,2.75,938.7,21.28,
6656315,-0.02,-0.09,0.85,-0.12,1.59,2.81,938.74,21.28,
6656353,-0.02,-0.08,0.94,0.43,0.24,2.56,938.73,21.28,
6656391,-0.01,-0.07,0.94,-0.24,1.04,2.62,938.71,21.28,
6656430,-0.02,-0.07,0.99,0.18,0.98,2.69,938.76,21.28,
6656468,-0.04,-0.08,0.9,-0.12,1.46,2.44,938.76,21.28,
6656506,-0.04,-0.06,0.93,-0.06,1.22,2.5,938.75,21.28,
6656556,-0.02,-0.09,0.92,-0.06,1.46,2.56,938.79,21.29,
6656594,-0.05,-0.08,0.84,-0.61,2.2,2.56,938.78,21.28,
6656633,-0.04,-0.07,0.91,-0.06,2.81,2.32,938.74,21.28,
6656671,-0.04,-0.08,0.9,-0.85,3.36,2.26,938.71,21.28,
6656709,-0.02,-0.07,1.06,-0.67,1.28,2.69,938.77,21.28,
6656747,-0.04,-0.07,1.1,-0.98,3.23,2.5,938.79,21.29,
6656786,-0.05,-0.06,1.15,-1.22,4.33,2.44,938.78,21.29,
6656824,-0.03,-0.07,1.2,-1.04,4.94,2.69,938.78,21.29,
6656862,-0.02,-0.06,1.27,-1.34,4.76,2.38,938.78,21.29,
6656900,-0.06,-0.07,1.25,-1.22,5.92,2.75,938.81,21.29,
6656950,-0.03,-0.05,1.28,-0.73,4.94,2.87,938.83,21.28,
6656989,-0.04,-0.04,1.34,-0.37,5.07,2.93,938.76,21.28,
6657027,-0.04,-0.07,1.36,-0.18,5.55,3.23,938.76,21.28,
6657065,-0.05,-0.06,1.43,-0.31,5.37,3.3,938.82,21.29,
6657103,-0.03,-0.04,1.42,-0.49,4.27,3.72,938.79,21.28,
6657142,-0.03,-0.04,1.45,-0.55,2.69,4.03,938.83,21.29,
6657180,-0.03,-0.04,1.42,-0.43,2.75,4.33,938.85,21.29,
6657218,-0.01,-0.06,1.45,0.18,1.04,4.27,938.88,21.29,
6657256,-0.01,-0.06,1.34,-0.24,0.24,4.03,938.83,21.27,
6657306,-0.02,-0.04,1.31,0.31,1.28,4.21,938.87,21.26,
6657345,-0.01,-0.07,1.22,-0.18,2.32,3.97,938.88,21.28,
6657383,-0.03,-0.07,1.23,0.79,2.01,3.66,938.85,21.29,
6657421,-0.05,-0.07,1.12,0.61,3.54,3.78,938.86,21.28,
6657459,-0.04,-0.05,1.1,1.1,4.7,3.54,938.83,21.28,
6657498,0.01,-0.06,1.09,0.67,5.86,3.48,938.8,21.29,
6657536,-0.05,-0.07,1.18,1.4,3.36,3.85,938.87,21.3,
6657574,-0.07,-0.09,1.24,1.46,3.85,4.15,938.8,21.29,
6657613,-0.05,-0.09,1.15,1.34,5.19,4.03,938.85,21.29,
6657651,-0.05,-0.04,1.13,1.1,4.82,3.85,938.84,21.29,
6657701,-0.04,-0.09,1.08,1.89,6.53,4.27,938.84,21.27,
6657739,-0.05,-0.1,1.01,1.77,6.71,4.15,938.83,21.28,
6657777,-0.03,-0.07,1.11,2.81,5.43,4.09,938.86,21.29,
6657816,-0.04,-0.07,0.93,1.53,7.32,4.21,938.81,21.29,
6657854,-0.03,-0.07,1.03,1.89,5.0,4.39,938.84,21.29,
6657892,-0.03,-0.09,1.09,1.65,5.68,4.39,938.78,21.28,
6657930,-0.04,-0.09,1.02,1.53,5.98,4.21,938.81,21.28,
6657968,-0.03,-0.06,1.14,2.32,5.13,4.33,938.79,21.29,
6658007,-0.02,-0.08,1.06,1.34,6.35,4.27,938.86,21.3,
6658045,-0.06,-0.06,1.1,1.77,4.03,4.46,938.76,21.29,
6658121,-0.03,-0.05,1.17,1.04,2.99,4.58,938.84,21.27,
6658159,-0.07,-0.07,1.14,0.73,4.7,5.0,938.88,21.28,
6658197,-0.02,-0.05,1.28,1.46,3.23,4.94,938.87,21.29,
6658287,-0.02,-0.05,1.33,1.1,3.48,5.43,938.9,21.24,
6658326,-0.02,-0.07,1.25,0.61,5.31,5.43,938.87,21.26,
6658364,-0.0,-0.06,1.25,0.98,4.15,5.07,938.88,21.27,
6658402,-0.02,-0.07,1.19,0.61,4.58,5.25,938.88,21.27,
6658441,-0.0,-0.07,1.13,0.61,4.33,4.94,938.9,21.28,
6658479,-0.0,-0.06,1.18,0.55,4.94,4.94,938.84,21.27,
6658529,0.0,-0.07,1.2,0.31,4.52,5.07,938.83,21.25,
6658567,-0.02,-0.07,1.17,-0.18,4.33,4.76,938.88,21.27,
6658605,-0.02,-0.06,1.22,0.49,3.66,4.58,938.87,21.28,
6658644,0.01,-0.09,1.09,-0.06,4.7,4.39,938.87,21.28,
6658682,-0.03,-0.06,1.11,0.73,2.44,4.64,938.82,21.28,
6658720,0.01,-0.08,1.06,0.24,3.85,4.52,938.86,21.28,
6658758,0.02,-0.06,1.04,0.0,3.05,4.09,938.81,21.28,
6658797,-0.04,-0.06,1.09,0.92,1.46,4.39,938.81,21.28,
6658835,-0.04,-0.08,1.05,0.49,1.71,4.52,938.81,21.28,
6658873,-0.01,-0.06,1.16,0.67,0.43,3.97,938.8,21.29,
6658923,-0.01,-0.06,1.16,0.43,0.67,4.03,938.8,21.28,
6658962,-0.02,-0.07,1.12,0.31,0.0,4.27,938.81,21.29,
6659000,-0.01,-0.07,1.12,-0.37,0.92,3.91,938.8,21.28,
6659038,-0.01,-0.07,1.15,0.31,0.73,3.6,938.82,21.28,
6659076,-0.01,-0.06,1.12,0.37,1.34,3.54,938.73,21.28,
6659115,-0.02,-0.08,1.04,0.98,0.92,3.48,938.78,21.28,
6659153,-0.02,-0.06,1.05,1.4,0.55,3.05,938.75,21.29,
6659191,-0.02,-0.09,1.02,1.89,2.93,3.05,938.79,21.3,
6659229,-0.04,-0.07,0.89,1.53,4.09,2.69,938.8,21.29,
6659268,-0.04,-0.06,0.99,2.81,3.54,2.93,938.74,21.29,
6659318,-0.03,-0.07,0.86,1.59,5.0,2.87,938.71,21.27,
6659356,-0.03,-0.05,1.04,3.54,2.44,2.93,938.72,21.28,
6659394,-0.02,-0.1,0.95,2.69,3.97,2.99,938.72,21.29,
6659433,0.0,-0.04,1.11,3.72,0.92,2.93,938.74,21.28,
6659471,-0.02,-0.08,1.04,3.72,0.92,3.36,938.67,21.28,
6659509,0.01,-0.07,1.05,3.42,-1.28,3.42,938.63,21.27,
6659547,-0.01,-0.07,1.07,3.6,-2.69,3.36,938.63,21.28,
6659586,0.01,-0.08,1.04,2.87,-2.44,3.23,938.64,21.27,
6659624,0.0,-0.08,1.03,2.69,-2.99,2.99,938.66,21.28,
6659674,-0.01,-0.06,1.02,2.14,-2.38,2.62,938.6,21.26,
6659712,-0.0,-0.07,1.03,2.44,-1.71,2.56,938.66,21.27,
6659751,-0.01,-0.07,1.03,2.08,-0.79,2.5,938.64,21.28,
6659789,-0.02,-0.08,1.08,2.14,0.49,2.01,938.59,21.28,
6659827,-0.02,-0.09,1.04,1.46,2.01,2.01,938.58,21.29,
6659865,-0.01,-0.06,1.13,2.01,2.87,1.65,938.56,21.28,
6659904,0.0,-0.08,1.02,1.53,5.68,1.53,938.56,21.28,
6659942,0.02,-0.08,1.1,2.14,5.0,1.4,938.6,21.3,
6659980,0.0,-0.09,1.09,1.71,5.8,1.53,938.5,21.27,
6660019,-0.01,-0.08,1.08,2.08,4.76,1.59,938.53,21.29,
6660069,-0.01,-0.06,1.1,2.08,2.32,1.71,938.52,21.28,
6660107,-0.01,-0.08,1.04,2.01,2.75,1.83,938.52,21.28,
6660145,0.02,-0.09,1.03,1.77,1.46,1.59,938.49,21.27,
6660183,0.01,-0.08,1.07,1.83,1.89,1.46,938.55,21.29,
6660222,0.02,-0.09,0.92,0.79,2.5,1.46,938.5,21.29,
6660260,0.0,-0.07,0.96,1.1,3.05,1.4,938.51,21.29,
6660298,0.0,-0.08,0.89,0.67,4.27,1.22,938.47,21.29,
6660337,-0.01,-0.09,0.92,0.92,3.36,1.04,938.47,21.29,
6660375,0.0,-0.09,0.9,0.49,4.21,0.85,938.48,21.3,
6660413,0.03,-0.07,0.96,0.43,4.15,0.49,938.46,21.29,
6660463,0.01,-0.07,0.99,0.12,4.7,0.79,938.42,21.28,
6660501,-0.0,-0.08,0.95,-0.12,5.25,0.67,938.42,21.29,
6660540,-0.01,-0.08,0.95,0.06,5.74,0.49,938.42,21.27,
6660578,-0.0,-0.07,0.99,0.31,5.62,0.37,938.47,21.29,
6660616,0.01,-0.08,0.99,0.49,5.55,0.31,938.44,21.29,
6660654,-0.01,-0.08,1.0,0.49,5.68,0.18,938.38,21.28,
6660693,-0.01,-0.08,1.0,0.67,6.1,0.31,938.4,21.29,
6660731,-0.0,-0.07,1.0,0.49,5.92,0.31,938.35,21.29,
6660769,-0.01,-0.06,1.03,0.79,5.49,0.37,938.39,21.3,
6660807,-0.03,-0.08,1.03,0.79,5.07,0.37,938.37,21.3,
6660857,-0.03,-0.07,1.05,1.28,4.64,0.43,938.39,21.28,
6660896,-0.02,-0.06,1.07,1.71,4.52,0.43,938.37,21.29,
6660934,-0.02,-0.06,1.05,1.59,5.07,0.67,938.33,21.28,
6660972,-0.02,-0.06,1.07,2.01,4.64,0.85,938.38,21.29,
6661011,-0.03,-0.07,1.02,1.71,5.07,0.98,938.3,21.28,
6661049,-0.03,-0.07,1.09,2.56,4.33,0.98,938.35,21.29,
6661087,-0.02,-0.07,1.03,2.32,4.58,0.92,938.29,21.29,
6661126,-0.03,-0.07,1.05,2.69,3.91,1.04,938.29,21.29,
6661164,-0.02,-0.07,1.03,2.44,4.88,1.22,938.24,21.29,
6661241,-0.02,-0.06,1.0,2.81,4.03,1.59,938.26,21.26,
6661279,-0.03,-0.07,0.96,2.69,4.09,1.71,938.27,21.27,
6661318,-0.01,-0.07,0.99,2.69,2.38,1.65,938.21,21.26,
6661408,-0.02,-0.07,0.92,2.14,0.18,2.08,938.21,21.25,
6661446,0.01,-0.09,0.89,1.95,0.55,1.77,938.23,21.26,
6661484,-0.02,-0.08,0.85,1.71,-0.12,1.89,938.14,21.26,
6661522,-0.02,-0.07,0.87,1.71,-0.55,1.95,938.14,21.27,
6661561,-0.0,-0.08,0.84,0.79,0.61,1.77,938.14,21.27,
6661599,-0.02,-0.08,0.88,0.61,1.04,1.59,938.17,21.28,
6661637,-0.02,-0.08,0.9,0.12,1.71,1.59,938.09,21.26,
6661687,-0.01,-0.08,0.92,0.24,2.01,1.59,938.14,21.26,
6661725,-0.01,-0.07,0.94,-0.24,2.32,1.46,938.09,21.27,
6661764,-0.02,-0.07,0.95,0.06,2.38,1.59,938.15,21.27,
6661802,-0.02,-0.08,0.94,-0.06,2.62,1.71,938.14,21.28,
6661840,-0.02,-0.07,0.97,0.24,1.77,1.77,938.1,21.29,
6661878,-0.01,-0.08,0.94,0.24,2.44,1.83,938.15,21.28,
6661917,-0.02,-0.07,0.95,0.73,2.08,1.65,938.11,21.29,
6661955,-0.03,-0.07,0.94,0.73,2.62,1.71,938.12,21.28,
6661993,-0.02,-0.06,0.96,0.73,1.83,1.95,938.08,21.29,
6662043,-0.02,-0.08,0.98,1.04,1.46,2.01,938.09,21.28,
6662082,-0.03,-0.07,1.02,0.92,0.98,1.89,938.06,21.29,
6662120,-0.04,-0.07,1.03,0.92,1.53,2.32,938.04,21.28,
6662158,-0.01,-0.07,1.0,0.79,1.65,2.2,938.07,21.29,
6662196,-0.03,-0.06,1.05,1.34,0.61,2.5,938.02,21.28,
6662235,-0.03,-0.08,0.97,1.22,1.4,2.56,937.98,21.28,
6662273,-0.02,-0.07,1.0,1.71,1.16,2.5,938.04,21.29,
6662311,-0.03,-0.07,0.99,2.08,1.46,2.75,938.04,21.29,
6662350,-0.03,-0.08,0.93,2.26,1.28,2.75,938.05,21.29,
6662388,-0.03,-0.07,0.94,2.75,1.1,2.62,938.0,21.29,
6662438,-0.01,-0.08,0.86,2.75,2.01,2.81,938.02,21.28,
6662476,-0.04,-0.08,0.85,2.81,1.34,2.93,937.98,21.28,
6662514,-0.03,-0.08,0.81,2.38,1.59,3.05,937.97,21.28,
6662553,-0.01,-0.07,0.82,2.44,1.22,2.99,938.02,21.3,
6662591,-0.01,-0.07,0.81,2.26,1.16,3.05,937.97,21.28,
6662629,-0.01,-0.08,0.79,2.2,1.1,2.81,937.96,21.28,
6662667,-0.01,-0.08,0.8,1.95,1.34,2.81,937.93,21.28,
6662706,-0.01,-0.07,0.79,1.83,1.34,2.87,937.95,21.28,
6662744,-0.02,-0.07,0.79,1.53,1.77,2.93,937.91,21.28,
6662782,-0.02,-0.07,0.77,1.4,2.44,2.81,937.91,21.29,
6662832,-0.02,-0.07,0.79,1.4,2.99,2.93,937.95,21.29,
6662871,-0.01,-0.08,0.79,1.28,3.54,2.62,937.91,21.28,
6662909,-0.0,-0.07,0.82,1.22,3.97,2.56,937.92,21.29,
6662947,-0.01,-0.07,0.83,1.16,5.0,2.69,937.92,21.3,
6662985,-0.0,-0.07,0.87,1.1,5.62,2.62,937.92,21.28,
6663024,-0.01,-0.07,0.85,0.85,5.92,2.5,937.94,21.29,
6663062,-0.01,-0.07,0.87,0.98,5.31,2.62,937.89,21.3,
6663100,0.0,-0.07,0.91,1.4,5.25,2.38,937.9,21.3,
6663138,0.0,-0.07,0.87,1.16,4.94,2.5,937.87,21.3,
6663177,-0.0,-0.06,0.88,1.77,4.03,2.56,937.86,21.28,
6663227,-0.01,-0.06,0.87,1.4,4.15,2.69,937.85,21.27,
6663265,-0.01,-0.06,0.93,1.71,2.99,2.75,937.94,21.29,
6663303,-0.01,-0.06,0.92,1.46,3.23,2.75,937.91,21.29,
6663341,-0.01,-0.06,0.96,1.65,2.81,2.69,937.87,21.3,
6663380,-0.0,-0.06,0.95,1.22,3.54,2.87,937.88,21.29,
6663418,-0.01,-0.06,0.96,1.4,2.81,2.87,937.86,21.3,
6663456,0.0,-0.06,0.96,1.22,2.99,2.81,937.86,21.29,
6663494,0.0,-0.06,0.97,1.1,3.05,2.75,937.87,21.28,
6663533,-0.01,-0.06,0.97,1.1,3.78,2.87,937.87,21.29,
6663583,0.0,-0.06,0.98,1.1,4.09,2.87,937.81,21.28,
6663621,-0.01,-0.06,0.98,0.79,4.88,2.69,937.77,21.28,
6663659,0.0,-0.05,1.01,1.1,4.82,2.81,937.83,21.29,
6663697,0.0,-0.06,1.01,1.1,5.55,2.5,937.83,21.29,
6663736,0.02,-0.05,1.02,1.04,5.49,2.62,937.78,21.29,
6663774,0.01,-0.05,1.06,0.85,5.86,2.44,937.79,21.29,
6663812,0.01,-0.06,1.04,0.73,6.53,2.56,937.75,21.29,
6663850,0.0,-0.06,1.05,0.85,6.65,2.5,937.7,21.28,
6663889,0.01,-0.06,1.05,0.85,7.39,2.5,937.76,21.29,
6663927,0.01,-0.05,1.05,0.92,7.87,2.38,937.75,21.3,
6663977,0.02,-0.05,1.06,1.04,9.03,2.14,937.73,21.28,
6664015,0.03,-0.06,1.05,0.98,10.13,1.83,937.73,21.28,
6664053,0.02,-0.05,1.07,1.22,10.74,1.89,937.74,21.29,
6664092,0.01,-0.05,1.04,1.04,11.84,1.89,937.69,21.28,
6664130,0.02,-0.05,1.09,1.46,12.27,1.83,937.66,21.29,
