timestamp,acc_x,acc_y,acc_z,rot_x,rot_y,rot_z,qfe,temp,Unnamed: 10
4187521,-0.04,-0.04,0.96,2.14,3.97,3.72,905.39,23.29,
4187560,-0.05,-0.04,0.97,1.95,3.36,4.21,905.35,23.28,
4187598,-0.04,-0.04,0.95,1.95,3.36,4.21,905.38,23.28,
4187648,-0.03,-0.03,0.96,1.71,2.75,4.46,905.42,23.28,
4187686,-0.03,-0.04,0.98,1.53,2.81,4.64,905.32,23.28,
4187724,-0.03,-0.04,1.01,1.53,2.5,4.76,905.34,23.28,
4187763,-0.04,-0.04,1.05,1.34,3.05,4.82,905.36,23.29,
4187801,-0.03,-0.03,1.08,1.1,2.44,4.94,905.35,23.29,
4187839,-0.04,-0.03,1.1,1.16,2.87,4.76,905.38,23.28,
4187877,-0.03,-0.03,1.08,0.92,3.3,4.76,905.33,23.28,
4187916,-0.02,-0.02,1.12,0.73,3.3,4.82,905.33,23.28,
4187954,-0.02,-0.03,1.07,0.67,4.15,5.0,905.36,23.28,
4188004,-0.03,-0.03,1.07,0.79,3.3,4.94,905.38,23.27,
4188042,-0.02,-0.04,1.06,0.98,3.85,4.94,905.39,23.27,
4188080,-0.01,-0.04,1.03,0.98,3.6,5.0,905.39,23.28,
4188119,-0.02,-0.03,1.06,1.4,3.36,5.0,905.38,23.29,
4188157,-0.02,-0.05,1.01,1.53,3.11,5.0,905.42,23.29,
4188195,-0.01,-0.04,1.03,1.71,2.5,5.0,905.39,23.28,
4188233,-0.02,-0.04,0.99,1.34,2.99,5.0,905.38,23.28,
4188272,-0.03,-0.04,0.99,1.59,2.75,5.07,905.39,23.28,
4188310,-0.02,-0.04,0.98,1.16,3.11,5.13,905.35,23.29,
4188348,-0.01,-0.04,0.98,1.16,3.11,5.0,905.45,23.29,
4188398,-0.01,-0.05,0.98,0.98,2.81,4.94,905.41,23.28,
4188436,-0.02,-0.05,0.97,1.04,2.62,4.88,905.36,23.28,
4188475,-0.01,-0.05,0.97,0.92,2.44,5.13,905.36,23.28,
4188513,-0.01,-0.05,0.95,0.79,2.08,4.94,905.36,23.28,
4188551,-0.0,-0.04,0.96,0.92,0.92,5.0,905.34,23.29,
4188589,-0.01,-0.05,0.95,0.85,1.22,5.07,905.4,23.29,
4188627,-0.0,-0.04,0.98,0.79,0.67,4.94,905.42,23.28,
4188666,-0.0,-0.05,1.0,0.67,0.79,4.94,905.35,23.28,
4188704,-0.01,-0.04,0.99,0.67,0.61,4.76,905.37,23.29,
4188742,-0.0,-0.04,1.0,0.37,0.85,4.64,905.33,23.28,
4188792,-0.01,-0.04,1.03,-0.06,1.1,4.58,905.39,23.28,
4188830,-0.0,-0.04,1.04,0.06,1.53,4.64,905.37,23.28,
4188868,-0.0,-0.04,1.07,-0.06,0.92,4.39,905.34,23.28,
4188907,-0.01,-0.04,1.07,0.0,1.28,4.15,905.4,23.28,
4188945,-0.01,-0.05,1.05,0.43,1.22,4.09,905.4,23.29,
4188983,-0.01,-0.04,1.04,0.37,1.46,3.97,905.37,23.28,
4189021,-0.01,-0.04,1.03,0.43,1.59,4.03,905.41,23.28,
4189059,-0.02,-0.04,1.01,0.49,1.71,3.78,905.38,23.29,
4189098,-0.01,-0.04,1.03,0.61,2.08,3.54,905.33,23.29,
4189174,0.0,-0.04,1.05,0.49,2.14,3.85,905.34,23.27,
4189212,-0.01,-0.04,1.06,0.43,2.14,3.42,905.37,23.27,
4189250,-0.0,-0.04,1.07,0.55,2.08,3.6,905.4,23.28,
4189340,-0.01,-0.04,1.1,0.24,2.38,3.42,905.32,23.24,
4189378,0.0,-0.03,1.11,0.18,2.32,3.3,905.33,23.26,
4189416,-0.01,-0.03,1.11,0.24,2.99,3.11,905.33,23.26,
4189454,-0.01,-0.03,1.11,0.18,3.42,3.05,905.33,23.27,
4189492,-0.01,-0.02,1.15,0.31,3.85,2.93,905.32,23.25,
4189531,-0.01,-0.02,1.16,0.43,3.85,2.81,905.31,23.28,
