timestamp,acc_x,acc_y,acc_z,rot_x,rot_y,rot_z,qfe,temp
4393501,-0.03,-0.08,0.88,-0.79,-0.85,1.71,871.12,34.3
4393539,-0.04,-0.07,0.93,-0.92,-1.04,1.95,871.15,34.29
4393577,-0.03,-0.07,1.03,-0.85,-1.16,2.01,871.15,34.3
4393627,-0.03,-0.06,1.09,-0.49,-1.59,1.95,871.16,34.28
4393665,-0.04,-0.07,1.08,-0.06,-1.34,1.77,871.26,34.28
4393703,-0.04,-0.06,1.09,0.49,-1.1,1.89,871.24,34.3
4393741,-0.04,-0.06,1.1,1.22,-0.85,1.77,871.21,34.3
4393779,-0.04,-0.08,1.07,1.65,-0.79,1.65,871.18,34.3
4393818,-0.04,-0.07,1.05,1.83,-0.12,1.65,871.15,34.3
4393856,-0.05,-0.07,1.05,2.08,0.61,1.46,871.27,34.3
4393894,-0.03,-0.06,1.06,2.38,0.67,1.59,871.24,34.3
4393932,-0.03,-0.07,1.06,2.26,1.65,1.34,871.22,34.29
4393970,-0.04,-0.07,1.02,2.38,1.89,1.34,871.27,34.31
4394020,-0.02,-0.07,1.02,2.38,2.69,1.4,871.18,34.29
4394058,-0.05,-0.07,1.03,2.56,2.75,1.53,871.27,34.32
4394096,-0.05,-0.07,1.02,2.81,3.54,1.59,871.23,34.3
4394134,-0.03,-0.07,0.98,2.93,2.99,1.89,871.24,34.28
4394172,-0.06,-0.07,0.98,2.99,2.69,1.71,871.25,34.3
4394210,-0.05,-0.08,0.94,2.99,2.32,1.71,871.29,34.3
4394248,-0.02,-0.07,1.0,2.81,2.01,1.65,871.32,34.3
4394286,-0.03,-0.08,0.97,2.99,3.23,1.95,871.25,34.31
4394325,-0.06,-0.07,0.95,2.99,2.56,1.83,871.27,34.3
4394374,-0.06,-0.07,0.96,3.48,3.48,2.08,871.29,34.3
4394412,-0.04,-0.08,0.93,3.23,2.99,2.08,871.27,34.31
4394451,-0.04,-0.07,0.93,3.05,2.81,2.08,871.32,34.3
4394489,-0.07,-0.07,0.89,3.48,3.3,2.2,871.27,34.31
4394527,-0.05,-0.07,0.92,3.23,2.87,2.44,871.29,34.31
4394565,-0.03,-0.08,0.94,3.05,3.11,2.5,871.27,34.32
4394603,-0.06,-0.08,0.88,3.17,3.17,2.56,871.25,34.31
4394641,-0.06,-0.07,0.88,3.11,3.78,2.87,871.29,34.32
