timestamp,acc_x,acc_y,acc_z,rot_x,rot_y,rot_z,qfe,temp
3024503,-0.02,-0.05,1.16,-0.73,2.56,1.95,938.3,32.86
3024541,-0.02,-0.05,1.17,-0.37,3.36,1.83,938.28,32.85
3024591,-0.02,-0.04,1.17,0.06,4.21,1.71,938.33,32.83
3024629,-0.01,-0.04,1.16,0.31,5.68,1.53,938.37,32.85
3024667,-0.02,-0.04,1.15,0.55,5.55,1.65,938.38,32.84
3024705,-0.02,-0.05,1.13,0.67,6.35,1.71,938.36,32.85
3024743,-0.02,-0.05,1.11,0.98,6.84,1.89,938.34,32.83
3024781,-0.01,-0.05,1.1,1.34,6.47,1.65,938.38,32.85
3024819,-0.02,-0.05,1.06,1.28,6.35,1.71,938.32,32.83
3024858,-0.01,-0.05,1.05,1.46,5.62,1.77,938.36,32.85
3024896,0.0,-0.06,1.03,1.65,5.92,1.89,938.31,32.83
3024934,-0.01,-0.05,1.02,1.71,5.74,2.08,938.39,32.86
3024984,-0.01,-0.06,0.98,1.65,5.8,2.01,938.27,32.84
3025022,-0.02,-0.06,0.99,1.34,5.25,1.83,938.26,32.84
3025060,-0.01,-0.06,1.04,1.4,5.43,2.26,938.36,32.85
3025098,0.01,-0.06,0.98,1.04,5.49,2.08,938.29,32.85
3025136,-0.0,-0.05,1.02,1.53,5.31,1.83,938.26,32.85
3025174,0.02,-0.06,0.98,1.1,6.1,1.95,938.29,32.85
3025212,0.01,-0.06,1.01,1.16,5.43,1.89,938.32,32.85
3025251,0.01,-0.06,0.99,1.1,6.16,1.65,938.32,32.86
3025289,-0.01,-0.06,1.0,1.59,5.55,1.59,938.27,32.86
3025327,-0.0,-0.06,1.01,1.77,5.86,1.4,938.3,32.86
3025377,0.01,-0.06,0.99,2.32,5.74,1.28,938.27,32.84
3025415,0.01,-0.06,0.95,2.26,5.62,1.16,938.29,32.84
3025453,0.01,-0.06,0.95,2.32,5.25,1.28,938.27,32.86
3025491,0.01,-0.06,0.93,2.5,5.13,1.16,938.32,32.85
3025529,-0.0,-0.06,0.95,2.5,4.94,1.1,938.29,32.85
3025567,0.01,-0.07,0.94,2.56,4.7,0.98,938.26,32.85
3025606,0.01,-0.06,0.92,2.69,4.52,0.73,938.3,32.86
3025644,0.01,-0.06,0.91,2.5,4.58,0.73,938.24,32.84
3025682,0.02,-0.06,0.89,2.69,4.39,0.73,938.24,32.87
3025720,0.01,-0.07,0.87,2.75,3.85,0.43,938.26,32.86
3025770,0.01,-0.06,0.87,2.87,3.85,0.37,938.21,32.83
3025808,0.01,-0.06,0.87,2.81,3.91,0.24,938.3,32.84
3025846,0.02,-0.07,0.86,2.93,3.54,-0.06,938.24,32.84
3025884,0.01,-0.06,0.85,2.87,3.48,-0.18,938.22,32.85
3025922,0.01,-0.06,0.87,3.23,3.23,-0.18,938.3,32.86
3025960,0.02,-0.07,0.83,3.23,4.21,-0.37,938.26,32.85
3025998,0.01,-0.06,0.83,3.72,2.93,-0.55,938.29,32.86
3026037,0.01,-0.06,0.82,3.36,3.11,-0.49,938.26,32.85
3026075,0.0,-0.07,0.8,3.91,3.6,-0.67,938.31,32.85
3026150,0.01,-0.07,0.81,3.91,3.85,-0.92,938.33,32.82
3026189,0.0,-0.05,0.82,3.6,3.72,-1.22,938.31,32.83
3026227,0.01,-0.07,0.86,3.36,4.52,-1.1,938.27,32.84
3026316,-0.01,-0.06,0.92,2.99,4.27,-1.46,938.34,32.8
3026354,-0.01,-0.06,0.94,2.99,3.6,-1.46,938.35,32.82
3026392,-0.0,-0.06,1.0,3.48,3.6,-1.46,938.32,32.83
3026431,0.01,-0.07,0.95,3.54,3.97,-1.46,938.36,32.83
3026469,-0.01,-0.06,0.97,4.33,3.78,-1.46,938.33,32.83
3026507,-0.01,-0.06,0.93,4.7,4.76,-1.4,938.35,32.83
3026545,-0.0,-0.05,0.93,4.7,4.27,-1.71,938.3,32.83
3026595,-0.02,-0.06,0.87,4.58,4.64,-1.71,938.23,32.82
3026633,-0.01,-0.07,0.88,4.46,4.7,-1.83,938.35,32.83
3026671,0.01,-0.07,0.86,4.03,5.07,-1.83,938.36,32.84
3026709,0.01,-0.06,0.85,3.66,5.13,-1.89,938.34,32.84
