timestamp,acc_x,acc_y,acc_z,rot_x,rot_y,rot_z,qfe,temp
5157523,-0.03,-0.05,0.97,0.85,2.99,8.18,882.21,30.8
5157561,-0.04,-0.06,0.91,0.67,3.66,8.18,882.14,30.79
5157611,-0.03,-0.06,0.86,0.24,4.21,7.75,882.14,30.78
5157649,-0.05,-0.06,0.88,0.24,3.66,7.69,882.21,30.79
5157687,-0.04,-0.08,0.87,0.0,4.52,7.69,882.2,30.78
5157725,-0.04,-0.06,0.83,-0.37,4.09,7.57,882.16,30.79
5157764,-0.05,-0.06,0.88,-0.92,3.85,7.81,882.18,30.79
5157802,-0.04,-0.07,0.9,-1.71,4.33,7.69,882.18,30.8
5157840,-0.04,-0.05,0.99,-2.08,4.15,7.69,882.23,30.8
5157878,-0.04,-0.06,1.01,-2.32,4.46,7.87,882.15,30.79
5157916,-0.04,-0.05,1.08,-2.62,4.33,7.93,882.25,30.8
5157954,-0.05,-0.04,1.11,-2.5,5.0,7.81,882.27,30.79
5158004,-0.02,-0.04,1.15,-2.32,4.88,7.75,882.18,30.77
5158042,-0.04,-0.04,1.17,-2.14,5.13,7.69,882.23,30.79
5158080,-0.02,-0.04,1.18,-2.01,4.94,7.51,882.21,30.78
5158119,-0.03,-0.04,1.21,-1.59,5.49,7.57,882.22,30.8
5158157,-0.03,-0.04,1.2,-1.34,5.19,7.45,882.25,30.79
5158195,-0.03,-0.04,1.19,-1.1,5.13,7.32,882.26,30.79
5158233,-0.03,-0.04,1.21,-0.79,4.39,7.2,882.29,30.8
5158271,-0.03,-0.05,1.17,-0.55,4.52,7.2,882.29,30.8
5158309,-0.03,-0.04,1.16,-0.37,4.33,7.14,882.38,30.81
5158359,-0.03,-0.04,1.16,-0.12,4.21,7.26,882.28,30.78
5158397,-0.04,-0.05,1.14,0.12,4.27,7.08,882.31,30.79
5158436,-0.03,-0.04,1.13,0.18,4.09,7.02,882.32,30.79
5158474,-0.04,-0.04,1.11,0.37,4.27,6.9,882.33,30.79
5158512,-0.04,-0.04,1.1,0.43,4.27,7.02,882.38,30.79
5158550,-0.03,-0.05,1.1,0.31,4.76,7.02,882.35,30.78
5158588,-0.04,-0.05,1.09,0.31,4.39,7.14,882.36,30.78
5158626,-0.04,-0.05,1.08,0.31,4.09,7.14,882.37,30.79
5158664,-0.05,-0.06,1.03,0.31,4.52,6.96,882.37,30.78
5158702,-0.05,-0.05,1.02,0.37,4.39,6.9,882.4,30.8
5158778,-0.04,-0.06,0.99,0.24,5.19,7.08,882.43,30.76
5158816,-0.04,-0.05,1.01,0.31,5.19,6.96,882.43,30.77
5158854,-0.04,-0.05,1.0,0.18,5.43,6.96,882.44,30.77
5158944,-0.05,-0.05,1.09,0.06,5.07,6.9,882.4,30.73
5158982,-0.06,-0.06,1.12,-0.06,5.19,6.84,882.32,30.75
5159020,-0.04,-0.06,1.11,-0.18,4.88,6.84,882.38,30.75
5159058,-0.04,-0.04,1.16,-0.18,4.27,6.84,882.42,30.76
5159097,-0.04,-0.04,1.17,-0.31,3.85,6.96,882.42,30.75
