timestamp,acc_x,acc_y,acc_z,rot_x,rot_y,rot_z,qfe,temp
5613519,-0.04,-0.07,0.93,2.44,6.23,-0.12,929.9,30.84
5613557,-0.02,-0.06,0.94,2.44,6.29,-0.18,929.92,30.86
5613595,-0.03,-0.07,0.89,2.32,5.86,-0.18,929.87,30.86
5613633,-0.03,-0.07,0.91,2.14,4.64,-0.12,929.86,30.86
5613671,-0.02,-0.07,0.88,1.83,4.88,-0.24,929.9,30.87
5613709,-0.03,-0.07,0.9,1.59,4.88,-0.18,929.87,30.87
5613748,-0.04,-0.07,0.92,1.53,4.21,-0.18,929.85,30.86
5613786,-0.02,-0.07,0.94,1.34,4.52,-0.24,929.87,30.88
5613824,-0.02,-0.07,0.99,1.22,4.94,-0.12,929.82,30.85
5613862,-0.04,-0.06,1.03,1.28,4.94,-0.24,929.87,30.87
5613912,-0.03,-0.06,1.05,1.22,5.31,-0.31,929.86,30.86
5613950,-0.03,-0.06,1.06,1.28,5.25,-0.43,929.85,30.87
5613988,-0.03,-0.05,1.06,1.46,5.49,-0.31,929.85,30.86
5614026,-0.05,-0.06,1.02,1.65,6.04,-0.43,929.88,30.87
5614064,-0.04,-0.05,1.05,1.53,5.55,-0.31,929.86,30.88
5614103,-0.03,-0.05,1.06,1.59,5.8,-0.37,929.83,30.87
5614141,-0.03,-0.05,1.08,1.59,5.68,-0.37,929.88,30.87
5614179,-0.05,-0.05,1.1,1.71,6.41,-0.18,929.85,30.86
5614217,-0.05,-0.05,1.1,1.59,6.77,-0.24,929.8,30.88
5614267,-0.05,-0.05,1.12,2.32,7.51,-0.18,929.89,30.87
5614305,-0.05,-0.05,1.13,2.5,7.45,-0.18,929.81,30.86
5614343,-0.04,-0.05,1.11,2.69,8.48,-0.18,929.77,30.86
5614381,-0.05,-0.05,1.08,2.99,8.48,-0.12,929.83,30.87
5614420,-0.05,-0.05,1.1,3.11,8.36,0.18,929.8,30.87
5614458,-0.04,-0.06,1.06,2.99,8.67,0.24,929.76,30.87
5614496,-0.05,-0.05,1.08,2.99,9.09,0.49,929.86,30.87
5614534,-0.05,-0.06,1.04,3.11,9.46,0.61,929.8,30.87
5614572,-0.04,-0.06,1.04,3.11,9.09,0.55,929.78,30.87
5614610,-0.05,-0.06,0.99,2.93,9.03,0.67,929.86,30.87
5614660,-0.05,-0.06,0.98,2.56,9.22,0.85,929.83,30.86
5614698,-0.03,-0.06,0.94,2.32,9.09,0.85,929.78,30.87
5614736,-0.04,-0.06,0.94,1.95,8.67,1.04,929.8,30.86
5614774,-0.03,-0.07,0.92,1.77,9.09,1.04,929.75,30.86
5614813,-0.04,-0.07,0.97,1.71,8.54,1.1,929.85,30.87
5614851,-0.03,-0.07,0.95,1.46,8.97,1.16,929.81,30.87
5614889,-0.02,-0.06,1.0,1.4,8.97,0.98,929.81,30.87
5614927,-0.02,-0.07,0.98,1.71,10.74,1.04,929.77,30.87
5614965,-0.02,-0.07,0.95,1.77,11.54,1.16,929.71,30.87
5615015,-0.03,-0.08,0.96,2.2,13.98,1.04,929.71,30.87
5615053,-0.03,-0.07,0.97,2.08,14.47,1.28,929.7,30.87
5615091,-0.03,-0.06,1.0,2.2,14.77,1.28,929.65,30.87
5615130,-0.01,-0.07,1.01,2.08,15.62,1.16,929.65,30.88
5615168,-0.02,-0.07,1.01,1.95,15.93,1.4,929.63,30.86
5615206,-0.02,-0.07,1.03,1.77,15.62,1.53,929.59,30.87
5615244,-0.01,-0.08,1.02,1.65,15.93,1.53,929.59,30.89
5615282,-0.01,-0.08,0.98,1.04,16.11,1.59,929.65,30.88
5615320,-0.01,-0.08,0.95,0.49,15.81,1.65,929.62,30.88
5615359,0.0,-0.06,0.99,-0.43,15.5,1.65,929.59,30.88
5615408,0.0,-0.07,1.09,-0.98,13.98,1.89,929.61,30.87
5615447,-0.01,-0.08,1.1,-1.16,13.85,1.83,929.66,30.88
5615485,-0.0,-0.07,1.1,-1.4,13.92,1.83,929.63,30.88
5615523,0.02,-0.06,1.18,-1.34,13.92,1.89,929.65,30.9
5615561,-0.0,-0.07,1.13,-1.34,13.85,1.83,929.63,30.89
5615599,-0.0,-0.05,1.15,-1.4,13.12,1.95,929.62,30.88
5615637,0.02,-0.06,1.19,-1.46,14.16,1.71,929.58,30.88
5615676,0.02,-0.06,1.19,-1.77,12.57,1.77,929.61,30.89
5615714,-0.0,-0.06,1.24,-1.59,11.29,1.71,929.58,30.89
5615764,0.02,-0.07,1.19,-1.53,13.18,1.77,929.52,30.87
5615802,0.02,-0.05,1.25,-1.77,11.96,1.65,929.62,30.88
5615840,0.01,-0.05,1.19,-1.89,12.15,1.59,929.53,30.87
5615878,-0.0,-0.05,1.22,-2.08,11.84,1.77,929.54,30.88
5615916,0.02,-0.05,1.23,-1.83,13.0,1.53,929.59,30.88
5615955,0.02,-0.05,1.24,-1.77,11.78,1.53,929.58,30.88
5615993,0.01,-0.05,1.23,-1.77,11.78,1.46,929.53,30.87
5616031,0.02,-0.05,1.23,-1.34,12.15,1.46,929.52,30.89
5616069,0.03,-0.05,1.22,-1.04,12.21,1.34,929.5,30.87
5616107,0.03,-0.06,1.2,-0.92,11.54,1.22,929.47,30.88
5616183,0.04,-0.07,1.14,-0.43,12.82,0.92,929.48,30.86
5616221,0.04,-0.07,1.13,-0.55,12.94,0.49,929.5,30.87
5616259,0.02,-0.06,1.06,-0.49,12.33,0.67,929.51,30.88
5616349,0.04,-0.07,1.06,-1.16,13.18,-0.18,929.42,30.85
5616387,0.04,-0.08,1.04,-1.34,13.24,-0.31,929.41,30.86
5616425,0.05,-0.07,1.03,-1.46,13.61,-0.49,929.41,30.87
5616464,0.04,-0.07,1.03,-1.4,14.4,-0.92,929.49,30.87
5616502,0.04,-0.07,1.0,-1.71,13.98,-1.1,929.44,30.87
5616540,0.04,-0.06,1.02,-1.65,13.0,-1.04,929.44,30.86
5616590,0.03,-0.08,1.01,-2.26,12.39,-1.59,929.46,30.86
5616628,0.05,-0.06,1.07,-2.75,11.05,-1.59,929.36,30.84
5616666,0.05,-0.06,1.08,-3.23,9.89,-1.77,929.42,30.88
5616704,0.03,-0.06,1.09,-3.78,9.09,-1.89,929.38,30.87
5616742,0.04,-0.05,1.14,-3.78,8.06,-2.08,929.36,30.86
5616780,0.05,-0.06,1.12,-4.09,7.39,-2.26,929.34,30.86
5616819,0.04,-0.05,1.14,-4.21,6.53,-2.56,929.37,30.88
5616857,0.04,-0.05,1.16,-4.33,6.04,-2.87,929.36,30.88
5616895,0.06,-0.04,1.23,-4.27,5.62,-2.81,929.26,30.86
5616933,0.05,-0.04,1.27,-4.46,4.21,-2.99,929.26,30.87
5616983,0.03,-0.02,1.34,-4.09,3.11,-3.23,929.29,30.86
5617021,0.05,-0.01,1.42,-4.39,2.93,-3.54,929.27,30.87
5617059,0.03,-0.01,1.45,-3.91,2.08,-3.72,929.24,30.88
5617097,0.04,-0.02,1.45,-3.85,2.93,-4.03,929.23,30.88
5617135,0.06,-0.01,1.48,-3.66,2.93,-4.15,929.22,30.87
5617174,0.04,-0.01,1.47,-3.23,2.38,-4.27,929.23,30.89
5617212,0.02,-0.01,1.44,-3.11,1.34,-4.52,929.2,30.88
5617250,0.04,0.0,1.45,-2.81,0.85,-4.76,929.17,30.87
5617288,0.04,-0.01,1.43,-2.44,1.04,-5.19,929.19,30.89
5617338,0.04,-0.02,1.38,-1.95,0.55,-5.49,929.15,30.86
5617376,0.04,-0.03,1.37,-1.59,1.1,-5.8,929.13,30.87
5617414,0.07,-0.05,1.3,-1.4,1.46,-6.35,929.12,30.87
5617452,0.04,-0.03,1.29,-1.34,3.05,-6.65,929.11,30.88
5617490,0.04,-0.04,1.21,-1.22,3.54,-7.2,929.11,30.88
5617528,0.03,-0.03,1.22,-0.92,3.48,-7.69,929.13,30.89
5617566,0.02,-0.05,1.17,-0.92,3.54,-8.0,929.13,30.88
5617605,0.02,-0.05,1.15,-1.16,2.99,-8.18,929.12,30.87
5617643,0.02,-0.04,1.16,-1.16,3.05,-8.61,929.18,30.89
5617681,0.01,-0.05,1.14,-1.28,2.81,-8.73,929.15,30.87
5617731,0.02,-0.04,1.13,-1.46,2.2,-8.85,929.13,30.88
5617769,0.01,-0.05,1.1,-1.46,2.26,-9.22,929.12,30.89
5617807,0.01,-0.04,1.11,-1.53,2.14,-9.16,929.1,30.87
5617845,0.0,-0.04,1.09,-1.77,1.53,-9.34,929.12,30.89
5617883,0.0,-0.05,1.11,-1.95,1.59,-9.4,929.1,30.87
5617921,0.01,-0.05,1.09,-2.14,1.59,-9.46,929.06,30.87
5617960,0.01,-0.04,1.13,-2.2,1.71,-9.7,929.07,30.89
5617998,-0.0,-0.04,1.1,-2.32,1.83,-9.7,929.08,30.9
5618036,-0.0,-0.04,1.1,-2.38,2.26,-9.83,929.07,30.88
5618086,0.0,-0.04,1.11,-2.44,3.05,-9.89,929.01,30.87
5618124,-0.01,-0.04,1.1,-2.56,3.3,-10.01,929.08,30.88
5618162,-0.01,-0.03,1.15,-2.26,3.72,-10.07,929.02,30.89
5618200,-0.02,-0.03,1.14,-2.38,4.21,-9.95,928.99,30.89
5618238,-0.03,-0.02,1.17,-2.32,4.33,-9.89,928.94,30.88
5618277,-0.01,-0.04,1.16,-2.44,5.68,-9.77,929.02,30.88
5618315,-0.03,-0.03,1.17,-2.44,6.35,-9.77,929.01,30.89
5618353,-0.02,-0.02,1.25,-2.2,6.53,-9.46,928.86,30.88
5618391,-0.01,-0.02,1.19,-1.95,8.06,-9.77,928.91,30.89
5618441,-0.03,-0.0,1.26,-1.71,8.54,-9.52,928.93,30.89
5618479,-0.03,-0.02,1.22,-1.71,9.77,-9.34,928.88,30.89
5618517,-0.04,-0.02,1.24,-1.89,9.28,-9.46,928.84,30.89
5618556,-0.02,-0.03,1.2,-1.71,10.13,-9.22,928.9,30.88
5618594,-0.03,-0.02,1.18,-1.95,10.01,-9.09,928.92,30.89
5618632,-0.0,-0.01,1.15,-1.95,10.5,-8.79,928.88,30.89
5618670,-0.02,-0.01,1.15,-1.83,9.52,-8.54,928.81,30.89
5618708,-0.04,-0.02,1.15,-1.95,9.83,-8.36,928.8,30.9
5618746,-0.03,-0.03,1.2,-1.89,9.22,-8.12,928.79,30.88
5618785,-0.02,-0.02,1.19,-2.26,9.58,-8.0,928.76,30.88
5618834,-0.02,-0.02,1.22,-2.38,9.34,-7.87,928.8,30.88
5618872,-0.0,-0.01,1.18,-2.75,9.16,-7.87,928.7,30.89
5618911,-0.02,-0.01,1.24,-2.81,9.28,-7.69,928.7,30.89
5618949,0.0,-0.03,1.24,-3.05,9.22,-7.57,928.74,30.88
5618987,-0.01,-0.01,1.25,-3.17,9.58,-7.75,928.64,30.87
5619025,-0.04,-0.01,1.23,-2.93,8.91,-7.51,928.74,30.89
5619063,-0.0,-0.01,1.23,-3.05,7.93,-7.63,928.65,30.89
5619101,0.0,-0.02,1.22,-3.17,7.57,-7.93,928.61,30.88
5619140,0.0,-0.02,1.21,-3.3,6.77,-7.51,928.6,30.89
5619215,-0.03,-0.02,1.19,-3.72,6.16,-7.57,928.55,30.85
5619254,-0.02,-0.01,1.23,-3.6,5.8,-7.69,928.52,30.86
5619292,-0.01,-0.02,1.2,-4.09,5.62,-7.69,928.5,30.86
5619381,-0.02,-0.02,1.19,-3.72,4.82,-7.57,928.5,30.84
5619419,-0.02,-0.03,1.19,-3.42,4.82,-7.57,928.43,30.85
5619458,-0.02,-0.02,1.18,-3.42,4.15,-7.63,928.47,30.85
5619496,-0.03,-0.01,1.18,-3.6,5.25,-7.57,928.41,30.86
5619534,-0.01,-0.02,1.18,-3.6,6.1,-7.87,928.41,30.87
5619572,-0.02,-0.02,1.21,-3.6,5.92,-7.57,928.39,30.86
5619622,-0.03,-0.02,1.16,-3.72,7.26,-7.87,928.37,30.86
5619660,-0.02,-0.01,1.17,-4.03,7.2,-7.93,928.34,30.86
5619698,-0.03,-0.01,1.16,-4.09,7.81,-7.75,928.31,30.87
5619736,-0.03,-0.02,1.15,-4.27,7.69,-7.93,928.33,30.86
5619774,-0.0,-0.01,1.11,-4.15,7.75,-7.81,928.31,30.86
5619812,-0.03,-0.02,1.11,-3.85,7.57,-7.75,928.3,30.87
5619851,-0.02,-0.02,1.09,-3.78,7.39,-7.51,928.31,30.87
5619889,-0.02,-0.02,1.1,-3.91,6.77,-7.51,928.31,30.86
5619927,-0.04,-0.02,1.06,-3.6,6.59,-7.14,928.32,30.88
5619965,-0.02,-0.02,1.07,-3.6,6.04,-6.96,928.19,30.86
5620015,-0.02,-0.02,1.08,-3.54,6.41,-7.26,928.23,30.87
5620053,-0.03,-0.01,1.16,-3.3,6.35,-7.14,928.16,30.88
5620091,-0.01,-0.02,1.16,-3.54,6.96,-7.2,928.15,30.87
5620129,-0.01,0.0,1.21,-3.48,6.84,-7.32,928.15,30.87
5620168,-0.02,-0.0,1.17,-3.78,7.45,-7.32,928.16,30.89
5620206,-0.02,-0.0,1.19,-3.66,7.57,-7.14,928.11,30.87
5620244,-0.01,-0.01,1.19,-3.6,7.69,-7.39,928.15,30.87
5620282,-0.01,-0.01,1.16,-3.42,7.57,-7.26,928.16,30.87
5620320,-0.02,-0.01,1.15,-3.3,6.84,-7.2,928.04,30.87
5620370,-0.02,-0.01,1.07,-2.99,6.47,-7.02,928.03,30.86
5620408,-0.0,-0.02,1.06,-3.17,6.04,-7.45,927.97,30.88
5620446,-0.01,-0.03,1.02,-3.54,5.68,-7.2,928.05,30.87
5620484,-0.02,-0.03,1.03,-3.66,4.58,-7.2,928.01,30.87
5620522,-0.01,-0.03,1.04,-4.09,4.46,-7.39,927.93,30.89
5620561,0.0,-0.02,1.04,-4.52,3.54,-7.26,927.92,30.87
5620599,-0.03,-0.02,1.08,-4.39,2.75,-7.39,927.94,30.88
5620637,-0.01,-0.03,1.05,-4.7,2.38,-7.45,927.88,30.88
5620675,-0.01,-0.01,1.08,-5.0,2.14,-7.51,927.87,30.89
5620725,-0.01,-0.01,1.08,-5.13,1.22,-7.39,927.85,30.86
5620763,-0.02,-0.0,1.09,-5.55,0.49,-7.39,927.81,30.87
5620801,-0.03,0.0,1.14,-5.37,0.61,-7.45,927.88,30.87
5620839,-0.01,-0.0,1.15,-5.49,0.06,-7.45,927.77,30.87
5620877,-0.01,0.01,1.19,-5.49,-0.73,-7.26,927.81,30.87
5620915,-0.0,0.01,1.17,-5.43,-1.04,-7.51,927.86,30.88
5620954,-0.01,0.01,1.18,-5.0,-0.85,-7.81,927.77,30.88
5620992,-0.0,0.0,1.18,-4.76,-0.67,-7.75,927.83,30.87
5621030,-0.0,0.0,1.18,-4.76,-0.67,-7.93,927.83,30.88
5621068,-0.03,0.02,1.17,-4.03,-0.12,-8.24,927.83,30.89
5621118,-0.01,0.0,1.16,-3.85,-0.12,-8.3,927.81,30.86
